ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Bulb Switcher,53.7%,Medium,100.0,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
2,Two Sum,55.1%,Easy,94.5,https://leetcode.com/problems/two-sum,"Array, Hash Table"
3,Happy Number,57.6%,Easy,94.5,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
4,Palindrome Number,58.7%,Easy,87.3,https://leetcode.com/problems/palindrome-number,Math
5,Best Time to Buy and Sell Stock,54.8%,Easy,83.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,Climbing Stairs,53.3%,Easy,83.7,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
7,Valid Parentheses,41.8%,Easy,81.7,https://leetcode.com/problems/valid-parentheses,"String, Stack"
8,Roman to Integer,64.2%,Easy,79.5,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
9,Rotate Array,42.5%,Medium,79.5,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
10,Longest Palindromic Substring,35.3%,Medium,74.2,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
11,Spiral Matrix,52.9%,Medium,74.2,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
12,3Sum,36.4%,Medium,71.1,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
13,Reverse Integer,29.9%,Medium,71.1,https://leetcode.com/problems/reverse-integer,Math
14,Largest Number,40.9%,Medium,71.1,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
15,Sort Integers by The Number of 1 Bits,78.6%,Easy,71.1,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Array, Bit Manipulation, Sorting, Counting"
16,Longest Common Prefix,44.9%,Easy,67.5,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
17,Valid Anagram,66.2%,Easy,67.5,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
18,Find Peak Element,46.3%,Medium,67.5,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
19,Maximum Subarray,51.7%,Medium,67.5,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
20,Merge Sorted Array,52.3%,Easy,67.5,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
