ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Longest Common Prefix,44.9%,Easy,79.7,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
3,3Sum,36.4%,Medium,76.1,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
4,Roman to Integer,64.2%,Easy,74.6,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
5,Merge Sorted Array,52.3%,Easy,73.8,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
6,Median of Two Sorted Arrays,42.9%,Hard,73.4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
7,Longest Substring Without Repeating Characters,36.3%,Medium,73.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
8,Reverse Integer,29.9%,Medium,72.6,https://leetcode.com/problems/reverse-integer,Math
9,Trapping Rain Water,64.3%,Hard,72.1,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
10,Add Two Numbers,45.4%,Medium,70.3,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
11,Palindrome Number,58.7%,Easy,68.8,https://leetcode.com/problems/palindrome-number,Math
12,Valid Parentheses,41.8%,Easy,66.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
13,Container With Most Water,57.2%,Medium,66.5,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
14,Group Anagrams,70.3%,Medium,65.9,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
15,Remove Element,59.4%,Easy,65.9,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
16,Remove Duplicates from Sorted Array,59.5%,Easy,65.3,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
17,Longest Palindromic Substring,35.3%,Medium,65.3,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
18,Merge Two Sorted Lists,66.3%,Easy,64.6,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
19,Climbing Stairs,53.3%,Easy,64.0,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
20,Spiral Matrix,52.9%,Medium,63.3,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
21,Next Permutation,42.3%,Medium,63.3,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
22,Set Matrix Zeroes,58.9%,Medium,61.8,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
23,Letter Combinations of a Phone Number,63.1%,Medium,58.5,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
24,Maximum Subarray,51.7%,Medium,58.5,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
25,Find First and Last Position of Element in Sorted Array,46.1%,Medium,57.6,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
26,Generate Parentheses,76.5%,Medium,56.6,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
27,Rotate Image,77.2%,Medium,55.6,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
28,Jump Game,39.1%,Medium,53.3,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
29,Merge Intervals,48.8%,Medium,53.3,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
30,Plus One,47.0%,Easy,53.3,https://leetcode.com/problems/plus-one,"Array, Math"
31,Merge k Sorted Lists,55.8%,Hard,52.1,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
32,Permutations,80.1%,Medium,52.1,https://leetcode.com/problems/permutations,"Array, Backtracking"
33,Sort Colors,66.4%,Medium,52.1,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
34,Remove Duplicates from Sorted Array II,62.2%,Medium,50.8,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
35,Divide Two Integers,18.1%,Medium,50.8,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
36,Sqrt(x),40.0%,Easy,50.8,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
37,First Missing Positive,40.6%,Hard,49.4,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
38,Search in Rotated Sorted Array,42.3%,Medium,49.4,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
39,Valid Sudoku,61.7%,Medium,47.9,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
40,Unique Paths,65.4%,Medium,47.9,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
41,Largest Rectangle in Histogram,46.6%,Hard,47.9,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
42,Length of Last Word,55.4%,Easy,46.3,https://leetcode.com/problems/length-of-last-word,String
43,Reverse Linked List II,49.1%,Medium,46.3,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
