ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Longest Common Prefix,44.9%,Easy,79.1,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
3,3Sum,36.4%,Medium,78.5,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
4,Median of Two Sorted Arrays,42.9%,Hard,76.2,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
5,Longest Substring Without Repeating Characters,36.3%,Medium,75.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
6,Roman to Integer,64.2%,Easy,74.4,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
7,Add Two Numbers,45.4%,Medium,72.9,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
8,Merge Sorted Array,52.3%,Easy,72.9,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
9,Reverse Integer,29.9%,Medium,72.5,https://leetcode.com/problems/reverse-integer,Math
10,Trapping Rain Water,64.3%,Hard,71.2,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
11,Climbing Stairs,53.3%,Easy,67.8,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
12,Palindrome Number,58.7%,Easy,67.8,https://leetcode.com/problems/palindrome-number,Math
13,Container With Most Water,57.2%,Medium,66.8,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
14,Group Anagrams,70.3%,Medium,66.2,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
15,Remove Element,59.4%,Easy,65.6,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
16,Valid Parentheses,41.8%,Easy,65.6,https://leetcode.com/problems/valid-parentheses,"String, Stack"
17,Longest Palindromic Substring,35.3%,Medium,65.0,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
18,Remove Duplicates from Sorted Array,59.5%,Easy,65.0,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
19,Next Permutation,42.3%,Medium,64.4,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
20,Merge Two Sorted Lists,66.3%,Easy,64.4,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
21,Spiral Matrix,52.9%,Medium,63.1,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
22,Set Matrix Zeroes,58.9%,Medium,60.9,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
23,Maximum Subarray,51.7%,Medium,57.6,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
24,Generate Parentheses,76.5%,Medium,57.6,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
25,Letter Combinations of a Phone Number,63.1%,Medium,57.6,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
26,Find First and Last Position of Element in Sorted Array,46.1%,Medium,56.7,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
27,Rotate Image,77.2%,Medium,54.7,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
28,Jump Game,39.1%,Medium,54.7,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
29,Integer to Roman,67.9%,Medium,53.6,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
30,Merge Intervals,48.8%,Medium,53.6,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
31,Plus One,47.0%,Easy,53.6,https://leetcode.com/problems/plus-one,"Array, Math"
32,Merge k Sorted Lists,55.8%,Hard,51.3,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
33,Permutations,80.1%,Medium,51.3,https://leetcode.com/problems/permutations,"Array, Backtracking"
34,Sort Colors,66.4%,Medium,51.3,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
