ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Capacity To Ship Packages Within D Days,71.4%,Medium,100.0,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
2,Longest Substring Without Repeating Characters,36.3%,Medium,97.4,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
3,3Sum,36.4%,Medium,97.4,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
4,Brick Wall,55.8%,Medium,91.2,https://leetcode.com/problems/brick-wall,"Array, Hash Table"
5,Best Time to Buy and Sell Stock,54.8%,Easy,77.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,House Robber,52.0%,Medium,77.5,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
7,Coin Change,45.8%,Medium,70.5,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
8,Minimum Window Substring,44.7%,Hard,70.5,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
9,Triangle,58.6%,Medium,70.5,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
10,Find Median from Data Stream,53.0%,Hard,60.6,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
11,Plus One,47.0%,Easy,60.6,https://leetcode.com/problems/plus-one,"Array, Math"
12,Group Anagrams,70.3%,Medium,60.6,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
13,Jump Game II,41.1%,Medium,60.6,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
14,Valid Parentheses,41.8%,Easy,60.6,https://leetcode.com/problems/valid-parentheses,"String, Stack"
15,Course Schedule,48.5%,Medium,60.6,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
16,Kth Smallest Element in a BST,74.7%,Medium,60.6,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
17,Longest Palindromic Substring,35.3%,Medium,60.6,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
18,Find the Child Who Has the Ball After K Seconds,62.0%,Easy,60.6,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,"Math, Simulation"
19,Can Place Flowers,28.8%,Easy,60.6,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
20,Sort Array by Increasing Frequency,80.1%,Easy,60.6,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
21,Last Stone Weight,65.8%,Easy,60.6,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
22,Move Zeroes,62.5%,Easy,60.6,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
