ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Capacity To Ship Packages Within D Days,71.4%,Medium,100.0,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
2,3Sum,36.4%,Medium,94.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
3,Longest Substring Without Repeating Characters,36.3%,Medium,92.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
4,Find the Child Who Has the Ball After K Seconds,62.0%,Easy,92.0,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,"Math, Simulation"
5,Best Time to Buy and Sell Stock,54.8%,Easy,86.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,Brick Wall,55.8%,Medium,83.5,https://leetcode.com/problems/brick-wall,"Array, Hash Table"
7,Unique Paths II,42.8%,Medium,79.8,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
8,Minimum Absolute Difference,70.3%,Easy,75.5,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
9,House Robber,52.0%,Medium,75.5,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
10,Daily Temperatures,67.0%,Medium,70.2,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
11,Triangle,58.6%,Medium,70.2,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
12,Coin Change,45.8%,Medium,63.4,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
13,Integer to Roman,67.9%,Medium,63.4,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
14,Minimum Window Substring,44.7%,Hard,63.4,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
15,Squares of a Sorted Array,73.1%,Easy,53.8,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
16,Longest Palindromic Substring,35.3%,Medium,53.8,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
17,Merge Sorted Array,52.3%,Easy,53.8,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
18,Merge Intervals,48.8%,Medium,53.8,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
19,Find the Smallest Divisor Given a Threshold,62.6%,Medium,53.8,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
20,Next Greater Element I,73.9%,Easy,53.8,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
21,Two Sum,55.1%,Easy,53.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
22,Insert Delete GetRandom O(1),54.9%,Medium,53.8,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
23,Min Stack,55.9%,Medium,53.8,https://leetcode.com/problems/min-stack,"Stack, Design"
24,Permutation in String,46.8%,Medium,53.8,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
25,Jump Game II,41.1%,Medium,53.8,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
26,Decode String,60.7%,Medium,53.8,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
27,Reverse Substrings Between Each Pair of Parentheses,71.8%,Medium,53.8,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack"
28,Lexicographically Smallest String After Substring Operation,32.6%,Medium,53.8,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,"String, Greedy"
29,Last Stone Weight,65.8%,Easy,53.8,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
30,Move Zeroes,62.5%,Easy,53.8,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
31,Sort Array by Increasing Frequency,80.1%,Easy,53.8,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
32,Can Place Flowers,28.8%,Easy,53.8,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
33,Find Median from Data Stream,53.0%,Hard,53.8,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
34,Kth Smallest Element in a BST,74.7%,Medium,53.8,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
35,Course Schedule,48.5%,Medium,53.8,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
36,Plus One,47.0%,Easy,53.8,https://leetcode.com/problems/plus-one,"Array, Math"
37,Group Anagrams,70.3%,Medium,53.8,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
38,Valid Parentheses,41.8%,Easy,53.8,https://leetcode.com/problems/valid-parentheses,"String, Stack"
39,Subarray Product Less Than K,52.4%,Medium,53.8,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
