ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Count and Say,57.9%,Medium,100.0,https://leetcode.com/problems/count-and-say,String
2,Valid Parentheses,41.8%,Easy,76.3,https://leetcode.com/problems/valid-parentheses,"String, Stack"
3,Minimum Processing Time,69.6%,Medium,76.3,https://leetcode.com/problems/minimum-processing-time,"Array, Greedy, Sorting"
4,Maximum Star Sum of a Graph,40.5%,Medium,76.3,https://leetcode.com/problems/maximum-star-sum-of-a-graph,"Array, Greedy, Graph, Sorting, Heap (Priority Queue)"
5,Minimum Initial Energy to Finish Tasks,58.9%,Hard,76.3,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,"Array, Greedy, Sorting"
6,Delete and Earn,56.6%,Medium,76.3,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
7,Cherry Pickup,37.6%,Hard,66.6,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
8,Dice Roll Simulation,49.8%,Hard,66.6,https://leetcode.com/problems/dice-roll-simulation,"Array, Dynamic Programming"
9,Number of Different Subsequences GCDs,41.5%,Hard,66.6,https://leetcode.com/problems/number-of-different-subsequences-gcds,"Array, Math, Counting, Number Theory"
10,Reduce Array Size to The Half,69.0%,Medium,66.6,https://leetcode.com/problems/reduce-array-size-to-the-half,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)"
11,Create Sorted Array through Instructions,39.6%,Hard,66.6,https://leetcode.com/problems/create-sorted-array-through-instructions,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
12,Minimum Number of Taps to Open to Water a Garden,50.7%,Hard,66.6,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
13,Network Delay Time,56.4%,Medium,66.6,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
14,Map Sum Pairs,57.0%,Medium,66.6,https://leetcode.com/problems/map-sum-pairs,"Hash Table, String, Design, Trie"
15,Constrained Subsequence Sum,56.5%,Hard,66.6,https://leetcode.com/problems/constrained-subsequence-sum,"Array, Dynamic Programming, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
16,Number of Operations to Make Network Connected,64.1%,Medium,66.6,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union Find, Graph"
17,Can Make Palindrome from Substring,39.9%,Medium,66.6,https://leetcode.com/problems/can-make-palindrome-from-substring,"Array, Hash Table, String, Bit Manipulation, Prefix Sum"
18,Increasing Decreasing String,76.8%,Easy,66.6,https://leetcode.com/problems/increasing-decreasing-string,"Hash Table, String, Counting"
19,Number of Islands,61.6%,Medium,66.6,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
20,Distance to a Cycle in Undirected Graph,72.9%,Hard,66.6,https://leetcode.com/problems/distance-to-a-cycle-in-undirected-graph,"Depth-First Search, Breadth-First Search, Union Find, Graph"
21,Flood Fill,65.8%,Easy,66.6,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix"
22,Binary Tree Right Side View,65.6%,Medium,66.6,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
23,Max Points on a Line,28.4%,Hard,66.6,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
24,Sort Array by Increasing Frequency,80.1%,Easy,66.6,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
