ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Trapping Rain Water,64.3%,Hard,83.7,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
3,Longest Substring Without Repeating Characters,36.3%,Medium,81.5,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
4,Merge Sorted Array,52.3%,Easy,81.4,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
5,Longest Palindromic Substring,35.3%,Medium,78.5,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
6,Valid Parentheses,41.8%,Easy,78.3,https://leetcode.com/problems/valid-parentheses,"String, Stack"
7,Add Two Numbers,45.4%,Medium,77.4,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
8,Container With Most Water,57.2%,Medium,76.9,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
9,3Sum,36.4%,Medium,76.5,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
10,Median of Two Sorted Arrays,42.9%,Hard,74.3,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
11,Group Anagrams,70.3%,Medium,74.1,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
12,Roman to Integer,64.2%,Easy,73.6,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
13,Merge Intervals,48.8%,Medium,72.4,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
14,Longest Common Prefix,44.9%,Easy,71.4,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
15,Spiral Matrix,52.9%,Medium,70.0,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
16,Maximum Subarray,51.7%,Medium,69.8,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
17,Climbing Stairs,53.3%,Easy,69.4,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
18,Letter Combinations of a Phone Number,63.1%,Medium,68.2,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
19,Jump Game,39.1%,Medium,67.2,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
20,Reverse Integer,29.9%,Medium,67.0,https://leetcode.com/problems/reverse-integer,Math
21,Palindrome Number,58.7%,Easy,66.8,https://leetcode.com/problems/palindrome-number,Math
22,Generate Parentheses,76.5%,Medium,66.5,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
23,Merge Two Sorted Lists,66.3%,Easy,64.8,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
24,Remove Duplicates from Sorted Array,59.5%,Easy,64.6,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
25,Next Permutation,42.3%,Medium,64.6,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
26,Rotate Image,77.2%,Medium,63.8,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
27,Largest Rectangle in Histogram,46.6%,Hard,63.4,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
28,Merge k Sorted Lists,55.8%,Hard,63.4,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
29,Search in Rotated Sorted Array,42.3%,Medium,62.0,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
30,Valid Sudoku,61.7%,Medium,60.1,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
31,Set Matrix Zeroes,58.9%,Medium,59.6,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
32,Find First and Last Position of Element in Sorted Array,46.1%,Medium,59.0,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
33,First Missing Positive,40.6%,Hard,57.6,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
34,Remove Nth Node From End of List,48.1%,Medium,57.3,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
35,4Sum,37.6%,Medium,57.3,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
36,Search a 2D Matrix,51.8%,Medium,57.0,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
37,Reverse Nodes in k-Group,62.0%,Hard,57.0,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
38,Subsets,80.3%,Medium,56.7,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
39,Regular Expression Matching,29.0%,Hard,55.7,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
40,Word Search,44.6%,Medium,55.4,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
41,"Pow(x, n)",36.5%,Medium,55.4,https://leetcode.com/problems/powx-n,"Math, Recursion"
42,Jump Game II,41.1%,Medium,54.7,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
43,Sort Colors,66.4%,Medium,54.7,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
44,N-Queens,71.7%,Hard,53.6,https://leetcode.com/problems/n-queens,"Array, Backtracking"
45,Unique Paths,65.4%,Medium,53.2,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
