ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Number of Operations to Make Array XOR Equal to K,85.8%,Medium,100.0,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,"Array, Bit Manipulation"
2,Minimum Deletions to Make Character Frequencies Unique,61.3%,Medium,83.5,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,"Hash Table, String, Greedy, Sorting"
3,Add Digits,67.6%,Easy,83.5,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory"
4,Valid Palindrome,50.2%,Easy,71.4,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
5,Trapping Rain Water,64.3%,Hard,71.4,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
6,Maximum XOR After Operations ,79.3%,Medium,61.8,https://leetcode.com/problems/maximum-xor-after-operations,"Array, Math, Bit Manipulation"
7,Divide an Array Into Subarrays With Minimum Cost I,66.4%,Easy,61.8,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,"Array, Sorting, Enumeration"
8,Percentage of Letter in String,74.3%,Easy,61.8,https://leetcode.com/problems/percentage-of-letter-in-string,String
9,Divide an Array Into Subarrays With Minimum Cost II,30.9%,Hard,61.8,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
10,Ugly Number III,30.2%,Medium,61.8,https://leetcode.com/problems/ugly-number-iii,"Math, Binary Search, Combinatorics, Number Theory"
11,Equal Sum Arrays With Minimum Number of Operations,53.9%,Medium,61.8,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,"Array, Hash Table, Greedy, Counting"
12,Find a Value of a Mysterious Function Closest to Target,45.7%,Hard,61.8,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,"Array, Binary Search, Bit Manipulation, Segment Tree"
13,Two Sum,55.1%,Easy,61.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
14,Maximize the Topmost Element After K Moves,23.3%,Medium,61.8,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,"Array, Greedy"
15,Minimum Fuel Cost to Report to the Capital,64.1%,Medium,61.8,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital,"Tree, Depth-First Search, Breadth-First Search, Graph"
16,Longest Common Prefix,44.9%,Easy,61.8,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
17,3Sum,36.4%,Medium,61.8,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
18,Reconstruct a 2-Row Binary Matrix,47.4%,Medium,61.8,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,"Array, Greedy, Matrix"
19,Valid Parentheses,41.8%,Easy,61.8,https://leetcode.com/problems/valid-parentheses,"String, Stack"
20,Maximum Equal Frequency,37.4%,Hard,61.8,https://leetcode.com/problems/maximum-equal-frequency,"Array, Hash Table"
