ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Deletions to Make Character Frequencies Unique,61.3%,Medium,100.0,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,"Hash Table, String, Greedy, Sorting"
2,Ugly Number III,30.2%,Medium,93.7,https://leetcode.com/problems/ugly-number-iii,"Math, Binary Search, Combinatorics, Number Theory"
3,Percentage of Letter in String,74.3%,Easy,93.7,https://leetcode.com/problems/percentage-of-letter-in-string,String
4,Minimum Number of Operations to Make Array XOR Equal to K,85.8%,Medium,93.7,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,"Array, Bit Manipulation"
5,Equal Sum Arrays With Minimum Number of Operations,53.9%,Medium,93.7,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,"Array, Hash Table, Greedy, Counting"
6,Maximum XOR After Operations ,79.3%,Medium,93.7,https://leetcode.com/problems/maximum-xor-after-operations,"Array, Math, Bit Manipulation"
7,Maximize the Topmost Element After K Moves,23.3%,Medium,93.7,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,"Array, Greedy"
8,Find a Value of a Mysterious Function Closest to Target,45.7%,Hard,93.7,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,"Array, Binary Search, Bit Manipulation, Segment Tree"
9,Maximum Equal Frequency,37.4%,Hard,93.7,https://leetcode.com/problems/maximum-equal-frequency,"Array, Hash Table"
10,Divide an Array Into Subarrays With Minimum Cost II,30.9%,Hard,93.7,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
11,Divide an Array Into Subarrays With Minimum Cost I,66.4%,Easy,93.7,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,"Array, Sorting, Enumeration"
12,Two Sum,55.1%,Easy,76.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
13,Add Digits,67.6%,Easy,76.9,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory"
14,Minimum Fuel Cost to Report to the Capital,64.1%,Medium,64.6,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital,"Tree, Depth-First Search, Breadth-First Search, Graph"
15,Valid Palindrome,50.2%,Easy,64.6,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
16,Trapping Rain Water,64.3%,Hard,64.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
17,3Sum,36.4%,Medium,64.6,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
18,Valid Anagram,66.2%,Easy,64.6,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
19,Rotate Array,42.5%,Medium,64.6,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
20,Valid Parentheses,41.8%,Easy,54.9,https://leetcode.com/problems/valid-parentheses,"String, Stack"
21,Reconstruct a 2-Row Binary Matrix,47.4%,Medium,54.9,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,"Array, Greedy, Matrix"
22,Longest Common Prefix,44.9%,Easy,54.9,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
23,Longest Substring Without Repeating Characters,36.3%,Medium,54.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
24,Contains Duplicate,62.8%,Easy,54.9,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
