ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Video Stitching,51.8%,Medium,100.0,https://leetcode.com/problems/video-stitching,"Array, Dynamic Programming, Greedy"
2,Number of Islands,61.6%,Medium,97.4,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
3,Group Anagrams,70.3%,Medium,94.6,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
4,Heaters,39.4%,Medium,94.6,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
5,Maximum Number of Visible Points,37.5%,Hard,94.6,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
6,Daily Temperatures,67.0%,Medium,91.3,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
7,Shortest Word Distance,65.8%,Easy,87.6,https://leetcode.com/problems/shortest-word-distance,"Array, String"
8,Course Schedule,48.5%,Medium,83.2,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
9,Search Suggestions System,65.0%,Medium,83.2,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
10,Find Median from Data Stream,53.0%,Hard,77.7,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
11,Course Schedule II,52.6%,Medium,77.7,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
12,Flip Equivalent Binary Trees,69.8%,Medium,70.8,https://leetcode.com/problems/flip-equivalent-binary-trees,"Tree, Depth-First Search, Binary Tree"
13,Snakes and Ladders,44.0%,Medium,60.9,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
14,Spiral Matrix,52.9%,Medium,60.9,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
15,Time Based Key-Value Store,49.4%,Medium,60.9,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
16,Minesweeper,67.7%,Medium,60.9,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
17,Insert into a Sorted Circular Linked List,37.6%,Medium,60.9,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,Linked List
18,Find the Duplicate Number,62.3%,Medium,60.9,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
19,Shortest Word Distance II,61.9%,Medium,60.9,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
20,Move Zeroes,62.5%,Easy,60.9,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
21,Search in Rotated Sorted Array,42.3%,Medium,60.9,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
22,Game of Life,70.9%,Medium,60.9,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
23,Flatten Binary Tree to Linked List,67.7%,Medium,60.9,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
24,Basic Calculator II,45.3%,Medium,60.9,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
25,Basic Calculator,44.9%,Hard,60.9,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
26,Merge Intervals,48.8%,Medium,60.9,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
