ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Longest Substring Without Repeating Characters,36.3%,Medium,79.8,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
3,Roman to Integer,64.2%,Easy,78.9,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
4,Longest Common Prefix,44.9%,Easy,77.0,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
5,Median of Two Sorted Arrays,42.9%,Hard,75.9,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
6,Merge Sorted Array,52.3%,Easy,74.9,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
7,Valid Parentheses,41.8%,Easy,74.9,https://leetcode.com/problems/valid-parentheses,"String, Stack"
8,Add Two Numbers,45.4%,Medium,70.7,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
9,3Sum,36.4%,Medium,70.7,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
10,Longest Palindromic Substring,35.3%,Medium,70.2,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
11,Palindrome Number,58.7%,Easy,70.2,https://leetcode.com/problems/palindrome-number,Math
12,Trapping Rain Water,64.3%,Hard,70.2,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
13,Reverse Integer,29.9%,Medium,69.7,https://leetcode.com/problems/reverse-integer,Math
14,Group Anagrams,70.3%,Medium,69.2,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
15,Merge Intervals,48.8%,Medium,68.7,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
16,Spiral Matrix,52.9%,Medium,65.9,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
17,Remove Duplicates from Sorted Array,59.5%,Easy,65.9,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
18,Climbing Stairs,53.3%,Easy,65.3,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
19,Rotate Image,77.2%,Medium,64.7,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
20,Search in Rotated Sorted Array,42.3%,Medium,64.0,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
21,Valid Sudoku,61.7%,Medium,63.3,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
22,Container With Most Water,57.2%,Medium,61.9,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
23,Maximum Subarray,51.7%,Medium,61.2,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
24,Merge Two Sorted Lists,66.3%,Easy,60.4,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
25,Generate Parentheses,76.5%,Medium,59.6,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
26,Letter Combinations of a Phone Number,63.1%,Medium,59.6,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
27,Search Insert Position,48.3%,Easy,59.6,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
28,Remove Element,59.4%,Easy,56.9,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
29,Sqrt(x),40.0%,Easy,56.9,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
30,Merge k Sorted Lists,55.8%,Hard,55.9,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
31,Largest Rectangle in Histogram,46.6%,Hard,55.9,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
32,Add Binary,55.2%,Easy,54.9,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
33,Find the Index of the First Occurrence in a String,44.5%,Easy,52.6,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
34,Next Permutation,42.3%,Medium,52.6,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
35,Sort Colors,66.4%,Medium,52.6,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
36,4Sum,37.6%,Medium,51.4,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
37,Jump Game,39.1%,Medium,51.4,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
38,"Pow(x, n)",36.5%,Medium,51.4,https://leetcode.com/problems/powx-n,"Math, Recursion"
39,Remove Nth Node From End of List,48.1%,Medium,51.4,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
40,Combination Sum,73.9%,Medium,48.7,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
41,Permutations,80.1%,Medium,48.7,https://leetcode.com/problems/permutations,"Array, Backtracking"
42,Insert Interval,42.9%,Medium,47.1,https://leetcode.com/problems/insert-interval,Array
43,Plus One,47.0%,Easy,47.1,https://leetcode.com/problems/plus-one,"Array, Math"
44,First Missing Positive,40.6%,Hard,47.1,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
45,Validate Binary Search Tree,34.0%,Medium,47.1,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
46,Find First and Last Position of Element in Sorted Array,46.1%,Medium,47.1,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
47,Set Matrix Zeroes,58.9%,Medium,47.1,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
48,Symmetric Tree,58.6%,Easy,47.1,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
49,Regular Expression Matching,29.0%,Hard,45.5,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
50,Reverse Linked List II,49.1%,Medium,45.5,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
51,String to Integer (atoi),18.7%,Medium,45.5,https://leetcode.com/problems/string-to-integer-atoi,String
52,Binary Tree Inorder Traversal,78.0%,Easy,45.5,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
53,Jump Game II,41.1%,Medium,45.5,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
54,Divide Two Integers,18.1%,Medium,45.5,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
55,Interleaving String,41.4%,Medium,43.7,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
56,Wildcard Matching,29.4%,Hard,43.7,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
57,Count and Say,57.9%,Medium,41.7,https://leetcode.com/problems/count-and-say,String
58,Remove Duplicates from Sorted List,54.4%,Easy,41.7,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
59,Word Search,44.6%,Medium,41.7,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
60,Subsets,80.3%,Medium,41.7,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
61,Decode Ways,36.1%,Medium,39.4,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
62,Zigzag Conversion,50.8%,Medium,39.4,https://leetcode.com/problems/zigzag-conversion,String
63,Binary Tree Level Order Traversal,69.8%,Medium,39.4,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
64,Maximum Depth of Binary Tree,76.8%,Easy,39.4,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
65,Swap Nodes in Pairs,66.5%,Medium,39.4,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
66,N-Queens,71.7%,Hard,39.4,https://leetcode.com/problems/n-queens,"Array, Backtracking"
67,Minimum Path Sum,65.8%,Medium,39.4,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
68,Integer to Roman,67.9%,Medium,36.9,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
69,Sudoku Solver,63.7%,Hard,36.9,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
70,Reverse Nodes in k-Group,62.0%,Hard,36.9,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
