ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Longest Substring Without Repeating Characters,36.3%,Medium,79.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
3,Roman to Integer,64.2%,Easy,77.7,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
4,Longest Common Prefix,44.9%,Easy,77.1,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
5,Median of Two Sorted Arrays,42.9%,Hard,77.1,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
6,Valid Parentheses,41.8%,Easy,76.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
7,Merge Sorted Array,52.3%,Easy,74.5,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
8,Trapping Rain Water,64.3%,Hard,72.7,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
9,Group Anagrams,70.3%,Medium,72.3,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
10,Reverse Integer,29.9%,Medium,71.9,https://leetcode.com/problems/reverse-integer,Math
11,3Sum,36.4%,Medium,70.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
12,Valid Sudoku,61.7%,Medium,70.3,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
13,Merge Intervals,48.8%,Medium,69.8,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
14,Longest Palindromic Substring,35.3%,Medium,69.4,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
15,Add Two Numbers,45.4%,Medium,69.4,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
16,Palindrome Number,58.7%,Easy,68.9,https://leetcode.com/problems/palindrome-number,Math
17,Climbing Stairs,53.3%,Easy,68.0,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
18,Rotate Image,77.2%,Medium,67.5,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
19,Remove Duplicates from Sorted Array,59.5%,Easy,65.9,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
20,Merge Two Sorted Lists,66.3%,Easy,64.8,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
21,Spiral Matrix,52.9%,Medium,64.8,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
22,Search in Rotated Sorted Array,42.3%,Medium,63.6,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
23,Sqrt(x),40.0%,Easy,62.3,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
24,Generate Parentheses,76.5%,Medium,61.7,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
25,Maximum Subarray,51.7%,Medium,61.7,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
26,Container With Most Water,57.2%,Medium,60.2,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
27,Find the Index of the First Occurrence in a String,44.5%,Easy,59.5,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
28,Search Insert Position,48.3%,Easy,58.7,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
29,Letter Combinations of a Phone Number,63.1%,Medium,58.7,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
30,Merge k Sorted Lists,55.8%,Hard,57.1,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
31,Remove Element,59.4%,Easy,56.2,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
32,Largest Rectangle in Histogram,46.6%,Hard,56.2,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
33,Remove Nth Node From End of List,48.1%,Medium,55.2,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
34,Add Binary,55.2%,Easy,53.2,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
35,Sort Colors,66.4%,Medium,51.0,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
36,Binary Tree Level Order Traversal,69.8%,Medium,51.0,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
37,Regular Expression Matching,29.0%,Hard,51.0,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
38,Next Permutation,42.3%,Medium,51.0,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
39,4Sum,37.6%,Medium,49.8,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
40,Jump Game,39.1%,Medium,49.8,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
41,Permutations,80.1%,Medium,49.8,https://leetcode.com/problems/permutations,"Array, Backtracking"
42,"Pow(x, n)",36.5%,Medium,49.8,https://leetcode.com/problems/powx-n,"Math, Recursion"
43,Combination Sum,73.9%,Medium,48.5,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
44,Symmetric Tree,58.6%,Easy,47.1,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
45,Find First and Last Position of Element in Sorted Array,46.1%,Medium,47.1,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
46,Validate Binary Search Tree,34.0%,Medium,47.1,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
47,Set Matrix Zeroes,58.9%,Medium,47.1,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
48,Interleaving String,41.4%,Medium,47.1,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
49,Plus One,47.0%,Easy,45.6,https://leetcode.com/problems/plus-one,"Array, Math"
50,String to Integer (atoi),18.7%,Medium,45.6,https://leetcode.com/problems/string-to-integer-atoi,String
51,Jump Game II,41.1%,Medium,45.6,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
52,First Missing Positive,40.6%,Hard,45.6,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
53,Insert Interval,42.9%,Medium,45.6,https://leetcode.com/problems/insert-interval,Array
54,Reverse Linked List II,49.1%,Medium,43.9,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
55,Divide Two Integers,18.1%,Medium,43.9,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
