ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,House Robber,52.0%,Medium,100.0,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
2,Partition Array Into Two Arrays to Minimize Sum Difference,21.3%,Hard,100.0,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
3,Stone Game VI,58.4%,Medium,93.4,https://leetcode.com/problems/stone-game-vi,"Array, Math, Greedy, Sorting, Heap (Priority Queue), Game Theory"
4,Possible Bipartition,51.2%,Medium,93.4,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
5,Search in Rotated Sorted Array,42.3%,Medium,93.4,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
6,Longest Substring Without Repeating Characters,36.3%,Medium,85.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
7,Binary Tree Maximum Path Sum,40.9%,Hard,85.0,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
8,Find the Count of Monotonic Pairs I,46.2%,Hard,85.0,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum"
9,Next Permutation,42.3%,Medium,85.0,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
10,Cycle Length Queries in a Tree,57.7%,Hard,85.0,https://leetcode.com/problems/cycle-length-queries-in-a-tree,"Array, Tree, Binary Tree"
11,Maximum Length of Subarray With Positive Product,44.3%,Medium,85.0,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product,"Array, Dynamic Programming, Greedy"
12,Maximize the Confusion of an Exam,68.2%,Medium,73.1,https://leetcode.com/problems/maximize-the-confusion-of-an-exam,"String, Binary Search, Sliding Window, Prefix Sum"
13,Maximum Product Subarray,34.5%,Medium,73.1,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
14,Edit Distance,58.2%,Medium,73.1,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
15,Diagonal Traverse,62.5%,Medium,73.1,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
16,Count Collisions on a Road,44.1%,Medium,73.1,https://leetcode.com/problems/count-collisions-on-a-road,"String, Stack, Simulation"
17,Number of People Aware of a Secret,46.1%,Medium,73.1,https://leetcode.com/problems/number-of-people-aware-of-a-secret,"Dynamic Programming, Queue, Simulation"
18,Minimum Insertion Steps to Make a String Palindrome,72.0%,Hard,73.1,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,"String, Dynamic Programming"
19,Koko Eating Bananas,48.8%,Medium,73.1,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
20,Best Time to Buy and Sell Stock IV,46.0%,Hard,73.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
21,Surrounded Regions,42.0%,Medium,73.1,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
