ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Reverse Nodes in k-Group,62.0%,Hard,100.0,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
2,Inorder Successor in BST II,60.9%,Medium,95.0,https://leetcode.com/problems/inorder-successor-in-bst-ii,"Tree, Binary Search Tree, Binary Tree"
3,Restore IP Addresses,52.4%,Medium,95.0,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
4,Reorder List,61.6%,Medium,95.0,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
5,Reverse Linked List II,49.1%,Medium,95.0,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
6,Rotated Digits,56.4%,Medium,88.9,https://leetcode.com/problems/rotated-digits,"Math, Dynamic Programming"
7,Inorder Successor in BST,50.5%,Medium,88.9,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
8,Remove Linked List Elements,51.1%,Easy,81.0,https://leetcode.com/problems/remove-linked-list-elements,"Linked List, Recursion"
9,Missing Number,69.3%,Easy,81.0,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
10,Moving Average from Data Stream,79.6%,Easy,81.0,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
11,Maximum Units on a Truck,74.0%,Easy,81.0,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
12,Merge In Between Linked Lists,82.2%,Medium,81.0,https://leetcode.com/problems/merge-in-between-linked-lists,Linked List
13,Merge Two Sorted Lists,66.3%,Easy,81.0,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
14,Missing Element in Sorted Array,58.2%,Medium,81.0,https://leetcode.com/problems/missing-element-in-sorted-array,"Array, Binary Search"
15,Construct String With Repeat Limit,70.9%,Medium,69.9,https://leetcode.com/problems/construct-string-with-repeat-limit,"Hash Table, String, Greedy, Heap (Priority Queue), Counting"
16,Find the Winner of the Circular Game,82.0%,Medium,69.9,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
17,Validate Binary Search Tree,34.0%,Medium,69.9,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
18,Find the Town Judge,49.9%,Easy,69.9,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
19,Best Time to Buy and Sell Stock,54.8%,Easy,69.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
20,Kth Largest Element in a Stream,59.7%,Easy,69.9,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
21,Implement Trie (Prefix Tree),67.4%,Medium,69.9,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
22,Binary Tree Maximum Path Sum,40.9%,Hard,69.9,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
23,Flatten a Multilevel Doubly Linked List,61.0%,Medium,69.9,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
24,Contains Duplicate II,48.1%,Easy,69.9,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
25,Find Minimum in Rotated Sorted Array,52.2%,Medium,69.9,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
26,Reverse Words in a String,50.1%,Medium,69.9,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
27,Palindromic Substrings,71.3%,Medium,69.9,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
