ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,The Number of Rich Customers,77.5%,Easy,100.0,https://leetcode.com/problems/the-number-of-rich-customers,Database
2,Best Time to Buy and Sell Stock,54.8%,Easy,88.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
3,Group Anagrams,70.3%,Medium,79.7,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
4,Maximum Subarray,51.7%,Medium,73.3,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
5,Two Sum,55.1%,Easy,64.3,https://leetcode.com/problems/two-sum,"Array, Hash Table"
6,Unique Paths II,42.8%,Medium,64.3,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
7,Merge Sorted Array,52.3%,Easy,64.3,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
8,First Missing Positive,40.6%,Hard,64.3,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
9,Longest Substring Without Repeating Characters,36.3%,Medium,64.3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
10,Longest Palindromic Substring,35.3%,Medium,64.3,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
