ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Rank Teams by Votes,59.0%,Medium,100.0,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
2,Design Snake Game,39.0%,Medium,92.1,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
3,Logger Rate Limiter,76.4%,Easy,80.2,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
4,All O`one Data Structure,44.8%,Hard,72.8,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
5,Design File System,63.8%,Medium,72.8,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
6,Maximum Area of Longest Diagonal Rectangle,36.7%,Easy,70.9,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
7,Maximum Square Area by Removing Fences From a Field,24.0%,Medium,70.9,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,"Array, Hash Table, Enumeration"
8,Cherry Pickup,37.6%,Hard,70.9,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
9,Stock Price Fluctuation ,48.7%,Medium,70.9,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
10,Longest String Chain,61.7%,Medium,68.8,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
11,Group Anagrams,70.3%,Medium,66.4,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
12,Merge Intervals,48.8%,Medium,63.7,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
13,Longest Increasing Subsequence,57.2%,Medium,60.7,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
14,Online Election,52.5%,Medium,60.7,https://leetcode.com/problems/online-election,"Array, Hash Table, Binary Search, Design"
15,Majority Element II,53.7%,Medium,60.7,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting"
16,String Transformation,30.7%,Hard,57.0,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
17,Design Tic-Tac-Toe,58.4%,Medium,52.6,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
18,Best Time to Buy and Sell Stock,54.8%,Easy,52.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
19,High-Access Employees,45.4%,Medium,52.6,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting"
20,Maximum Number of Occurrences of a Substring,53.0%,Medium,46.9,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
21,Crawler Log Folder,71.6%,Easy,46.9,https://leetcode.com/problems/crawler-log-folder,"Array, String, Stack"
22,Koko Eating Bananas,48.8%,Medium,46.9,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
23,Minimum Time to Visit a Cell In a Grid,57.2%,Hard,46.9,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
24,Count Vowels Permutation,61.6%,Hard,46.9,https://leetcode.com/problems/count-vowels-permutation,Dynamic Programming
25,Boats to Save People,59.9%,Medium,46.9,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
26,Longest Consecutive Sequence,47.2%,Medium,46.9,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
27,Two Sum,55.1%,Easy,46.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
28,Unique Paths II,42.8%,Medium,46.9,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
29,Integer to Roman,67.9%,Medium,46.9,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
30,Maximum Good Subarray Sum,20.0%,Medium,38.9,https://leetcode.com/problems/maximum-good-subarray-sum,"Array, Hash Table, Prefix Sum"
31,Single Element in a Sorted Array,59.2%,Medium,38.9,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
32,Container With Most Water,57.2%,Medium,38.9,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
33,Minimum Cost to Convert String I,58.0%,Medium,38.9,https://leetcode.com/problems/minimum-cost-to-convert-string-i,"Array, String, Graph, Shortest Path"
34,Smallest Missing Non-negative Integer After Operations,39.6%,Medium,38.9,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy"
