ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Rank Teams by Votes,59.0%,Medium,100.0,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
2,Design Snake Game,39.0%,Medium,87.1,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
3,Stock Price Fluctuation ,48.7%,Medium,76.1,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
4,Logger Rate Limiter,76.4%,Easy,72.3,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
5,All O`one Data Structure,44.8%,Hard,69.5,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
6,High-Access Employees,45.4%,Medium,68.5,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting"
7,Minimum Time to Visit a Cell In a Grid,57.2%,Hard,60.7,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
8,Design File System,63.8%,Medium,60.7,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
9,Minimum Cost to Convert String II,25.8%,Hard,59.0,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,"Array, String, Dynamic Programming, Graph, Trie, Shortest Path"
10,Make Lexicographically Smallest Array by Swapping Elements,60.5%,Medium,59.0,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
11,Minimum Cost to Convert String I,58.0%,Medium,59.0,https://leetcode.com/problems/minimum-cost-to-convert-string-i,"Array, String, Graph, Shortest Path"
12,Find the Width of Columns of a Grid,68.8%,Easy,59.0,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
13,Maximum Good Subarray Sum,20.0%,Medium,59.0,https://leetcode.com/problems/maximum-good-subarray-sum,"Array, Hash Table, Prefix Sum"
14,Maximum Area of Longest Diagonal Rectangle,36.7%,Easy,59.0,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
15,Cherry Pickup,37.6%,Hard,59.0,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
16,Smallest Missing Non-negative Integer After Operations,39.6%,Medium,59.0,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy"
17,Maximum Square Area by Removing Fences From a Field,24.0%,Medium,59.0,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,"Array, Hash Table, Enumeration"
18,Number of Possible Sets of Closing Branches,51.0%,Hard,59.0,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path"
19,Verbal Arithmetic Puzzle,34.7%,Hard,59.0,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking"
20,Longest String Chain,61.7%,Medium,57.2,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
21,Group Anagrams,70.3%,Medium,57.2,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
22,Merge Intervals,48.8%,Medium,57.2,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
23,Longest Increasing Subsequence,57.2%,Medium,55.1,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
24,Majority Element II,53.7%,Medium,52.7,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting"
25,Online Election,52.5%,Medium,49.9,https://leetcode.com/problems/online-election,"Array, Hash Table, Binary Search, Design"
26,Text Justification,47.1%,Hard,49.9,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
27,String Transformation,30.7%,Hard,46.7,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
28,Best Time to Buy and Sell Stock,54.8%,Easy,46.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
29,The Time When the Network Becomes Idle,53.0%,Medium,46.7,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph"
30,Koko Eating Bananas,48.8%,Medium,42.7,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
31,Design Tic-Tac-Toe,58.4%,Medium,42.7,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
32,Russian Doll Envelopes,37.2%,Hard,42.7,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting"
33,Boats to Save People,59.9%,Medium,37.6,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
34,Jump Game II,41.1%,Medium,37.6,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
35,Word Search,44.6%,Medium,37.6,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
36,Crawler Log Folder,71.6%,Easy,37.6,https://leetcode.com/problems/crawler-log-folder,"Array, String, Stack"
37,Longest Consecutive Sequence,47.2%,Medium,37.6,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
