ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Number of Changing Keys,80.4%,Easy,100.0,https://leetcode.com/problems/number-of-changing-keys,String
2,Distribute Elements Into Two Arrays I,72.9%,Easy,97.7,https://leetcode.com/problems/distribute-elements-into-two-arrays-i,"Array, Simulation"
3,Number of Subarrays That Match a Pattern I,67.0%,Medium,97.7,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i,"Array, Rolling Hash, String Matching, Hash Function"
4,Number of Subarrays That Match a Pattern II,32.3%,Hard,97.7,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-ii,"Array, Rolling Hash, String Matching, Hash Function"
5,Count Prefix and Suffix Pairs II,27.7%,Hard,97.7,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
6,Count Prefix and Suffix Pairs I,77.8%,Easy,97.7,https://leetcode.com/problems/count-prefix-and-suffix-pairs-i,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
7,Distribute Elements Into Two Arrays II,27.7%,Hard,97.7,https://leetcode.com/problems/distribute-elements-into-two-arrays-ii,"Array, Binary Indexed Tree, Segment Tree, Simulation"
8,Group Anagrams,70.3%,Medium,75.1,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
9,Sliding Window Maximum,47.2%,Hard,75.1,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
10,Restore IP Addresses,52.4%,Medium,58.2,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
11,Set Matrix Zeroes,58.9%,Medium,58.2,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
12,Maximum Subarray,51.7%,Medium,58.2,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
13,Minimum Size Subarray Sum,48.7%,Medium,58.2,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
14,Spiral Matrix,52.9%,Medium,58.2,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
15,Koko Eating Bananas,48.8%,Medium,58.2,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
16,Majority Element,65.5%,Easy,58.2,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
17,Valid Anagram,66.2%,Easy,58.2,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
18,Valid Parentheses,41.8%,Easy,58.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
19,Search in Rotated Sorted Array,42.3%,Medium,58.2,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
20,Valid Sudoku,61.7%,Medium,58.2,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
21,Reverse Nodes in k-Group,62.0%,Hard,58.2,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
22,Product of Array Except Self,67.4%,Medium,58.2,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
23,Block Placement Queries,16.1%,Hard,58.2,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
24,Combination Sum,73.9%,Medium,58.2,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
25,Median of Two Sorted Arrays,42.9%,Hard,58.2,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
