ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Valid Parentheses,41.8%,Easy,100.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
2,Happy Number,57.6%,Easy,93.8,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
3,Evaluate Division,62.7%,Medium,89.7,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
4,Pairs of Songs With Total Durations Divisible by 60,53.2%,Medium,71.7,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
5,Best Time to Buy and Sell Stock,54.8%,Easy,60.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,Path with Maximum Probability,65.3%,Medium,56.8,https://leetcode.com/problems/path-with-maximum-probability,"Array, Graph, Heap (Priority Queue), Shortest Path"
7,Group Anagrams,70.3%,Medium,51.5,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
8,Maximize Greatness of an Array,58.7%,Medium,44.1,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
9,Valid Anagram,66.2%,Easy,44.1,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
10,Boundary of Binary Tree,46.8%,Medium,44.1,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
11,Coin Change,45.8%,Medium,44.1,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
12,Generate Parentheses,76.5%,Medium,44.1,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
