ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Walking Robot Simulation II,26.6%,Medium,100.0,https://leetcode.com/problems/walking-robot-simulation-ii,"Design, Simulation"
2,Available Captures for Rook,70.1%,Easy,97.7,https://leetcode.com/problems/available-captures-for-rook,"Array, Matrix, Simulation"
3,Squirrel Simulation,57.2%,Medium,97.7,https://leetcode.com/problems/squirrel-simulation,"Array, Math"
4,Word Break,47.9%,Medium,97.7,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
5,Falling Squares,45.9%,Hard,97.7,https://leetcode.com/problems/falling-squares,"Array, Segment Tree, Ordered Set"
6,Number of Black Blocks,37.4%,Medium,97.7,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
7,Count Nice Pairs in an Array,48.6%,Medium,97.7,https://leetcode.com/problems/count-nice-pairs-in-an-array,"Array, Hash Table, Math, Counting"
8,Rotating the Box,79.1%,Medium,97.7,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
9,Pancake Sorting,71.1%,Medium,97.7,https://leetcode.com/problems/pancake-sorting,"Array, Two Pointers, Greedy, Sorting"
10,Implement Trie (Prefix Tree),67.4%,Medium,76.1,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
11,Design a Text Editor,47.4%,Hard,76.1,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
12,The Maze,59.1%,Medium,69.3,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
13,Integer to English Words,34.3%,Hard,59.7,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
14,Reconstruct Itinerary,43.4%,Hard,59.7,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
