ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Longest Substring Without Repeating Characters,36.3%,Medium,83.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
3,Add Two Numbers,45.4%,Medium,82.1,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
4,Valid Parentheses,41.8%,Easy,81.1,https://leetcode.com/problems/valid-parentheses,"String, Stack"
5,Merge Intervals,48.8%,Medium,80.8,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
6,3Sum,36.4%,Medium,79.8,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
7,Longest Palindromic Substring,35.3%,Medium,79.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
8,Merge Sorted Array,52.3%,Easy,78.3,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
9,Median of Two Sorted Arrays,42.9%,Hard,77.2,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
10,Maximum Subarray,51.7%,Medium,75.9,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
11,Trapping Rain Water,64.3%,Hard,75.5,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
12,Palindrome Number,58.7%,Easy,75.5,https://leetcode.com/problems/palindrome-number,Math
13,Remove Duplicates from Sorted Array,59.5%,Easy,75.1,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
14,Longest Common Prefix,44.9%,Easy,73.7,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
15,Roman to Integer,64.2%,Easy,73.7,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
16,Merge Two Sorted Lists,66.3%,Easy,71.2,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
17,Reverse Integer,29.9%,Medium,70.6,https://leetcode.com/problems/reverse-integer,Math
