ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Merge Intervals,48.8%,Medium,86.4,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
3,Add Two Numbers,45.4%,Medium,85.7,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
4,Longest Substring Without Repeating Characters,36.3%,Medium,84.8,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
5,Valid Parentheses,41.8%,Easy,83.8,https://leetcode.com/problems/valid-parentheses,"String, Stack"
6,Merge Sorted Array,52.3%,Easy,81.5,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
7,3Sum,36.4%,Medium,79.9,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
8,Longest Palindromic Substring,35.3%,Medium,78.4,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
9,Trapping Rain Water,64.3%,Hard,78.1,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
10,Median of Two Sorted Arrays,42.9%,Hard,76.4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
11,Palindrome Number,58.7%,Easy,75.5,https://leetcode.com/problems/palindrome-number,Math
12,Maximum Subarray,51.7%,Medium,75.5,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
13,Remove Duplicates from Sorted Array,59.5%,Easy,74.9,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
14,Word Search,44.6%,Medium,74.6,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
15,Roman to Integer,64.2%,Easy,74.3,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
16,Container With Most Water,57.2%,Medium,74.0,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
17,Longest Common Prefix,44.9%,Easy,73.6,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
18,Reverse Integer,29.9%,Medium,73.3,https://leetcode.com/problems/reverse-integer,Math
19,Merge Two Sorted Lists,66.3%,Easy,70.8,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
20,Search in Rotated Sorted Array,42.3%,Medium,70.4,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
21,Validate Binary Search Tree,34.0%,Medium,69.2,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
22,Subsets,80.3%,Medium,68.3,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
23,Group Anagrams,70.3%,Medium,66.9,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
24,"Pow(x, n)",36.5%,Medium,66.5,https://leetcode.com/problems/powx-n,"Math, Recursion"
25,Generate Parentheses,76.5%,Medium,65.0,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
26,Next Permutation,42.3%,Medium,64.4,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
27,Remove Element,59.4%,Easy,63.9,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
28,Climbing Stairs,53.3%,Easy,63.9,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
29,Rotate Image,77.2%,Medium,63.4,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
30,Sqrt(x),40.0%,Easy,60.3,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
31,Merge k Sorted Lists,55.8%,Hard,60.3,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
32,Find the Index of the First Occurrence in a String,44.5%,Easy,60.3,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
33,Binary Tree Level Order Traversal,69.8%,Medium,59.7,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
34,Find First and Last Position of Element in Sorted Array,46.1%,Medium,59.0,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
35,Unique Paths,65.4%,Medium,58.3,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
36,Jump Game,39.1%,Medium,58.3,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
37,Swap Nodes in Pairs,66.5%,Medium,58.3,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
38,Set Matrix Zeroes,58.9%,Medium,55.9,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
39,Spiral Matrix,52.9%,Medium,55.9,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
40,String to Integer (atoi),18.7%,Medium,55.9,https://leetcode.com/problems/string-to-integer-atoi,String
41,Letter Combinations of a Phone Number,63.1%,Medium,55.1,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
42,Jump Game II,41.1%,Medium,55.1,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
43,Sort Colors,66.4%,Medium,54.2,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
44,Permutations,80.1%,Medium,54.2,https://leetcode.com/problems/permutations,"Array, Backtracking"
45,Binary Tree Zigzag Level Order Traversal,61.0%,Medium,54.2,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
46,Construct Binary Tree from Preorder and Inorder Traversal,66.1%,Medium,54.2,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
47,Combination Sum,73.9%,Medium,53.3,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
48,Search Insert Position,48.3%,Easy,53.3,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
49,Symmetric Tree,58.6%,Easy,52.4,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
50,3Sum Closest,46.6%,Medium,52.4,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
51,First Missing Positive,40.6%,Hard,52.4,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
52,Reverse Nodes in k-Group,62.0%,Hard,52.4,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
53,Regular Expression Matching,29.0%,Hard,52.4,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
54,Search a 2D Matrix,51.8%,Medium,51.4,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
55,Same Tree,64.4%,Easy,51.4,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
56,Combination Sum II,57.2%,Medium,50.3,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
57,Remove Duplicates from Sorted List,54.4%,Easy,49.2,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
58,4Sum,37.6%,Medium,49.2,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
59,Add Binary,55.2%,Easy,49.2,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
60,Largest Rectangle in Histogram,46.6%,Hard,49.2,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
61,Zigzag Conversion,50.8%,Medium,48.0,https://leetcode.com/problems/zigzag-conversion,String
62,Subsets II,58.9%,Medium,46.7,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
63,Plus One,47.0%,Easy,46.7,https://leetcode.com/problems/plus-one,"Array, Math"
64,Unique Paths II,42.8%,Medium,46.7,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
65,Rotate List,39.4%,Medium,45.4,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
66,Remove Duplicates from Sorted Array II,62.2%,Medium,45.4,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
67,Valid Sudoku,61.7%,Medium,45.4,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
68,Sudoku Solver,63.7%,Hard,43.9,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
69,Maximum Depth of Binary Tree,76.8%,Easy,43.9,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
70,Integer to Roman,67.9%,Medium,42.4,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
71,Wildcard Matching,29.4%,Hard,42.4,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
72,Length of Last Word,55.4%,Easy,42.4,https://leetcode.com/problems/length-of-last-word,String
73,Divide Two Integers,18.1%,Medium,40.7,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
74,Remove Nth Node From End of List,48.1%,Medium,40.7,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
75,Simplify Path,46.6%,Medium,38.9,https://leetcode.com/problems/simplify-path,"String, Stack"
76,Reverse Linked List II,49.1%,Medium,38.9,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
77,Insert Interval,42.9%,Medium,38.9,https://leetcode.com/problems/insert-interval,Array
78,Remove Duplicates from Sorted List II,49.3%,Medium,38.9,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
79,Multiply Strings,41.8%,Medium,36.8,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
