ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Count Visited Nodes in a Directed Graph,32.8%,Hard,100.0,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph,"Dynamic Programming, Graph, Memoization"
2,Sum of Distances,31.3%,Medium,97.7,https://leetcode.com/problems/sum-of-distances,"Array, Hash Table, Prefix Sum"
3,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,41.2%,Medium,97.7,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
4,Minimize Length of Array Using Operations,34.8%,Medium,97.7,https://leetcode.com/problems/minimize-length-of-array-using-operations,"Array, Math, Greedy, Number Theory"
5,Minimum Number of Taps to Open to Water a Garden,50.7%,Hard,75.4,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
6,Group Anagrams,70.3%,Medium,75.4,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
7,Gas Station,46.0%,Medium,68.4,https://leetcode.com/problems/gas-station,"Array, Greedy"
8,Two Sum,55.1%,Easy,68.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
9,Minimum Number of Groups to Create a Valid Assignment,24.6%,Medium,68.4,https://leetcode.com/problems/minimum-number-of-groups-to-create-a-valid-assignment,"Array, Hash Table, Greedy"
10,Best Time to Buy and Sell Stock,54.8%,Easy,58.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
11,Palindromic Substrings,71.3%,Medium,58.6,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
12,Longest Substring Without Repeating Characters,36.3%,Medium,58.6,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
13,Reverse Words in a String III,83.5%,Easy,58.6,https://leetcode.com/problems/reverse-words-in-a-string-iii,"Two Pointers, String"
14,Move Zeroes,62.5%,Easy,58.6,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
15,Remove Duplicate Letters,50.8%,Medium,58.6,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
16,Convert Binary Number in a Linked List to Integer,81.2%,Easy,58.6,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
17,Roman to Integer,64.2%,Easy,58.6,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
18,Count Vowel Substrings of a String,69.9%,Easy,58.6,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
19,Find the Count of Monotonic Pairs II,23.2%,Hard,58.6,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum"
20,3Sum,36.4%,Medium,58.6,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
21,Total Cost to Hire K Workers,42.9%,Medium,58.6,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
22,Car Fleet,52.9%,Medium,58.6,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
