ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,LRU Cache,44.4%,Medium,100.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
2,Longest Substring Without Repeating Characters,36.3%,Medium,90.7,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
3,Number of Islands,61.6%,Medium,90.7,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
4,Delete Operation for Two Strings,63.3%,Medium,86.7,https://leetcode.com/problems/delete-operation-for-two-strings,"String, Dynamic Programming"
5,Combination Sum,73.9%,Medium,76.1,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
6,Trapping Rain Water,64.3%,Hard,76.1,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
7,House Robber,52.0%,Medium,76.1,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
8,Course Schedule,48.5%,Medium,76.1,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
9,House Robber II,43.1%,Medium,76.1,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
10,Kth Largest Element in an Array,67.6%,Medium,76.1,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
11,Basic Calculator II,45.3%,Medium,68.6,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
12,Reverse Linked List,78.7%,Easy,68.6,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
13,Two Sum,55.1%,Easy,68.6,https://leetcode.com/problems/two-sum,"Array, Hash Table"
14,Longest Consecutive Sequence,47.2%,Medium,68.6,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
15,Longest Palindromic Substring,35.3%,Medium,68.6,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
16,Sum Game,48.2%,Medium,68.6,https://leetcode.com/problems/sum-game,"Math, String, Greedy, Game Theory"
17,Container With Most Water,57.2%,Medium,68.6,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
18,Decode String,60.7%,Medium,68.6,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
19,Course Schedule II,52.6%,Medium,68.6,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
20,Find All Good Indices,39.4%,Medium,58.1,https://leetcode.com/problems/find-all-good-indices,"Array, Dynamic Programming, Prefix Sum"
21,Shortest Distance from All Buildings,43.8%,Hard,58.1,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
22,Count Binary Substrings,65.8%,Easy,58.1,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
23,Maximum Value at a Given Index in a Bounded Array,38.9%,Medium,58.1,https://leetcode.com/problems/maximum-value-at-a-given-index-in-a-bounded-array,"Binary Search, Greedy"
24,Next Permutation,42.3%,Medium,58.1,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
25,Smallest Subsequence of Distinct Characters,61.7%,Medium,58.1,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,"String, Stack, Greedy, Monotonic Stack"
26,First Day Where You Have Been in All the Rooms,37.7%,Medium,58.1,https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms,"Array, Dynamic Programming"
27,Remove Duplicate Letters,50.8%,Medium,58.1,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
28,"Pow(x, n)",36.5%,Medium,58.1,https://leetcode.com/problems/powx-n,"Math, Recursion"
29,Move Zeroes,62.5%,Easy,58.1,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
30,Intersection of Two Linked Lists,60.3%,Easy,58.1,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
31,Degree of an Array,57.1%,Easy,58.1,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
32,Open the Lock,60.6%,Medium,58.1,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
33,Merge Intervals,48.8%,Medium,58.1,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
34,H-Index,39.9%,Medium,58.1,https://leetcode.com/problems/h-index,"Array, Sorting, Counting Sort"
35,Minimum Window Substring,44.7%,Hard,58.1,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
36,Sort List,60.9%,Medium,58.1,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
37,Search in Rotated Sorted Array,42.3%,Medium,58.1,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
38,Number of Good Leaf Nodes Pairs,71.9%,Medium,58.1,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs,"Tree, Depth-First Search, Binary Tree"
39,Partition to K Equal Sum Subsets,38.1%,Medium,58.1,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
40,Climbing Stairs,53.3%,Easy,58.1,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
