ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Number of Unique Subjects Taught by Each Teacher,89.3%,Easy,95.7,https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher,Database
3,Count Elements With Maximum Frequency,78.2%,Easy,79.5,https://leetcode.com/problems/count-elements-with-maximum-frequency,"Array, Hash Table, Counting"
4,Remove Duplicates from Sorted Array,59.5%,Easy,79.5,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
5,Best Time to Buy and Sell Stock,54.8%,Easy,79.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,Rotate Array,42.5%,Medium,67.6,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
7,Longest Common Prefix,44.9%,Easy,67.6,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
8,Add Two Numbers,45.4%,Medium,67.6,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
9,Fibonacci Number,72.5%,Easy,67.6,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
10,Reverse Words in a String,50.1%,Medium,58.1,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
11,Valid Palindrome,50.2%,Easy,58.1,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
12,Nth Highest Salary,37.9%,Medium,58.1,https://leetcode.com/problems/nth-highest-salary,Database
13,Remove Nth Node From End of List,48.1%,Medium,58.1,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
14,Palindrome Number,58.7%,Easy,58.1,https://leetcode.com/problems/palindrome-number,Math
15,Longest Happy String,65.5%,Medium,58.1,https://leetcode.com/problems/longest-happy-string,"String, Greedy, Heap (Priority Queue)"
16,Longest Substring Without Repeating Characters,36.3%,Medium,58.1,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
17,Median of Two Sorted Arrays,42.9%,Hard,58.1,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
18,Group Anagrams,70.3%,Medium,58.1,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
19,Exchange Seats,72.1%,Medium,58.1,https://leetcode.com/problems/exchange-seats,Database
20,Valid Anagram,66.2%,Easy,58.1,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
