ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Text Justification,47.1%,Hard,100.0,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
2,Split Message Based on Limit,43.1%,Hard,92.4,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
3,Rotate Image,77.2%,Medium,89.3,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
4,Candy Crush,77.2%,Medium,81.3,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
5,Number of Flowers in Full Bloom,57.1%,Hard,81.3,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
6,Simple Bank System,63.4%,Medium,76.0,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
7,Word Search,44.6%,Medium,76.0,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
8,Coin Change,45.8%,Medium,69.2,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
9,Count Alternating Subarrays,57.2%,Medium,69.2,https://leetcode.com/problems/count-alternating-subarrays,"Array, Math"
10,Remove Boxes,48.2%,Hard,69.2,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
11,Word Search II,37.0%,Hard,69.2,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
12,Find the Length of the Longest Common Prefix,56.3%,Medium,69.2,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
13,Roman to Integer,64.2%,Easy,59.6,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
14,Four Divisors,44.3%,Medium,59.6,https://leetcode.com/problems/four-divisors,"Array, Math"
15,Binary Tree Paths,65.8%,Easy,59.6,https://leetcode.com/problems/binary-tree-paths,"String, Backtracking, Tree, Depth-First Search, Binary Tree"
16,Add Two Numbers,45.4%,Medium,59.6,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
17,Simplify Path,46.6%,Medium,59.6,https://leetcode.com/problems/simplify-path,"String, Stack"
18,Get Biggest Three Rhombus Sums in a Grid,49.0%,Medium,59.6,https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid,"Array, Math, Sorting, Heap (Priority Queue), Matrix, Prefix Sum"
19,Rotate Array,42.5%,Medium,59.6,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
20,K-diff Pairs in an Array,44.3%,Medium,59.6,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
21,Reverse Nodes in k-Group,62.0%,Hard,59.6,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
22,Valid Parentheses,41.8%,Easy,59.6,https://leetcode.com/problems/valid-parentheses,"String, Stack"
