ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Predict the Winner,55.5%,Medium,100.0,https://leetcode.com/problems/predict-the-winner,"Array, Math, Dynamic Programming, Recursion, Game Theory"
2,Longest Palindromic Substring,35.3%,Medium,90.3,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
3,House Robber,52.0%,Medium,88.8,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
4,Spiral Matrix,52.9%,Medium,75.3,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
5,Rotate Image,77.2%,Medium,73.1,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
6,Stone Game,71.4%,Medium,69.2,https://leetcode.com/problems/stone-game,"Array, Math, Dynamic Programming, Game Theory"
7,Lucky Numbers in a Matrix,79.9%,Easy,69.2,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix"
8,Snakes and Ladders,44.0%,Medium,66.0,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
9,Merge Intervals,48.8%,Medium,64.2,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
10,LRU Cache,44.4%,Medium,62.2,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
11,Happy Number,57.6%,Easy,60.0,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
12,Two Sum,55.1%,Easy,57.5,https://leetcode.com/problems/two-sum,"Array, Hash Table"
13,Cherry Pickup,37.6%,Hard,57.5,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
14,Fizz Buzz,73.9%,Easy,57.5,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
15,Word Search II,37.0%,Hard,57.5,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
16,Maximum Difference Between Increasing Elements,58.6%,Easy,57.5,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
17,Valid Parentheses,41.8%,Easy,54.6,https://leetcode.com/problems/valid-parentheses,"String, Stack"
18,Trapping Rain Water,64.3%,Hard,54.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
19,Maximum Subarray,51.7%,Medium,54.6,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
20,Best Time to Buy and Sell Stock,54.8%,Easy,51.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
21,Remove Boxes,48.2%,Hard,51.2,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
22,Number of Valid Words in a Sentence,29.8%,Easy,51.2,https://leetcode.com/problems/number-of-valid-words-in-a-sentence,String
23,Max Points on a Line,28.4%,Hard,51.2,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
24,Decode String,60.7%,Medium,51.2,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
25,Strange Printer,60.9%,Hard,51.2,https://leetcode.com/problems/strange-printer,"String, Dynamic Programming"
26,Burst Balloons,60.6%,Hard,47.0,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
27,Expressive Words,46.3%,Medium,47.0,https://leetcode.com/problems/expressive-words,"Array, Two Pointers, String"
28,Search a 2D Matrix,51.8%,Medium,47.0,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
