ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Predict the Winner,55.5%,Medium,100.0,https://leetcode.com/problems/predict-the-winner,"Array, Math, Dynamic Programming, Recursion, Game Theory"
2,Longest Palindromic Substring,35.3%,Medium,98.8,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
3,House Robber,52.0%,Medium,97.5,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
4,Spiral Matrix,52.9%,Medium,83.7,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
5,Rotate Image,77.2%,Medium,83.7,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
6,Lucky Numbers in a Matrix,79.9%,Easy,81.6,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix"
7,Maximum Subarray,51.7%,Medium,68.1,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
8,Stone Game,71.4%,Medium,68.1,https://leetcode.com/problems/stone-game,"Array, Math, Dynamic Programming, Game Theory"
9,Number of Valid Words in a Sentence,29.8%,Easy,68.1,https://leetcode.com/problems/number-of-valid-words-in-a-sentence,String
10,Fizz Buzz,73.9%,Easy,68.1,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
11,Maximum Difference Between Increasing Elements,58.6%,Easy,64.9,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
12,Snakes and Ladders,44.0%,Medium,64.9,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
13,LRU Cache,44.4%,Medium,64.9,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
14,Find Third Transaction,53.4%,Medium,64.9,https://leetcode.com/problems/find-third-transaction,Database
15,Merge Intervals,48.8%,Medium,63.0,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
16,Find the Largest Area of Square Inside Two Rectangles,45.4%,Medium,63.0,https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles,"Array, Math, Geometry"
17,Word Search II,37.0%,Hard,63.0,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
18,Minimum Cost to Make Array Equal,46.1%,Hard,63.0,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
19,Number of Equal Count Substrings,44.9%,Medium,63.0,https://leetcode.com/problems/number-of-equal-count-substrings,"String, Counting, Prefix Sum"
20,Check if Binary String Has at Most One Segment of Ones,39.2%,Easy,63.0,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,String
21,Sum of k-Mirror Numbers,42.4%,Hard,63.0,https://leetcode.com/problems/sum-of-k-mirror-numbers,"Math, Enumeration"
22,Two Sum,55.1%,Easy,58.7,https://leetcode.com/problems/two-sum,"Array, Hash Table"
23,Happy Number,57.6%,Easy,58.7,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
24,Best Time to Buy and Sell Stock,54.8%,Easy,56.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
25,Cherry Pickup,37.6%,Hard,56.1,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
26,Valid Parentheses,41.8%,Easy,56.1,https://leetcode.com/problems/valid-parentheses,"String, Stack"
27,Max Points on a Line,28.4%,Hard,56.1,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
28,Trapping Rain Water,64.3%,Hard,53.1,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
29,Strange Printer,60.9%,Hard,49.6,https://leetcode.com/problems/strange-printer,"String, Dynamic Programming"
30,Remove Boxes,48.2%,Hard,49.6,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
31,Decode String,60.7%,Medium,49.6,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
32,Burst Balloons,60.6%,Hard,45.2,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
33,Longest Substring Without Repeating Characters,36.3%,Medium,45.2,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
34,Expressive Words,46.3%,Medium,45.2,https://leetcode.com/problems/expressive-words,"Array, Two Pointers, String"
