ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Zigzag Iterator,65.2%,Medium,100.0,https://leetcode.com/problems/zigzag-iterator,"Array, Design, Queue, Iterator"
2,Design In-Memory File System,48.0%,Hard,100.0,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
3,Design File System,63.8%,Medium,89.8,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
4,Simple Bank System,63.4%,Medium,89.8,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
5,Number of Orders in the Backlog,51.2%,Medium,82.6,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
6,Check if There is a Valid Partition For The Array,51.9%,Medium,82.6,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array,"Array, Dynamic Programming"
7,Text Justification,47.1%,Hard,82.6,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
8,Time Based Key-Value Store,49.4%,Medium,82.6,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
9,Simplify Path,46.6%,Medium,72.5,https://leetcode.com/problems/simplify-path,"String, Stack"
10,Decode the Message,85.2%,Easy,72.5,https://leetcode.com/problems/decode-the-message,"Hash Table, String"
11,Evaluate Division,62.7%,Medium,72.5,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
