ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Zigzag Iterator,65.2%,Medium,100.0,https://leetcode.com/problems/zigzag-iterator,"Array, Design, Queue, Iterator"
2,Simple Bank System,63.4%,Medium,96.6,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
3,Decode the Message,85.2%,Easy,94.7,https://leetcode.com/problems/decode-the-message,"Hash Table, String"
4,Design In-Memory File System,48.0%,Hard,84.8,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
5,Text Justification,47.1%,Hard,72.6,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
6,Design File System,63.8%,Medium,72.6,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
7,Time Based Key-Value Store,49.4%,Medium,72.6,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
8,Number of Orders in the Backlog,51.2%,Medium,66.3,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
9,Check if There is a Valid Partition For The Array,51.9%,Medium,66.3,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array,"Array, Dynamic Programming"
10,Random Pick with Weight,48.2%,Medium,66.3,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
11,Simplify Path,46.6%,Medium,57.5,https://leetcode.com/problems/simplify-path,"String, Stack"
12,Evaluate Division,62.7%,Medium,57.5,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
13,Find the Length of the Longest Common Prefix,56.3%,Medium,57.5,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
