ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Count Vowel Substrings of a String,69.9%,Easy,100.0,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
2,Decode Ways,36.1%,Medium,95.5,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
3,Reach a Number,43.7%,Medium,92.9,https://leetcode.com/problems/reach-a-number,"Math, Binary Search"
4,Longest Increasing Subsequence,57.2%,Medium,86.5,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
5,Number of Longest Increasing Subsequence,49.4%,Medium,82.5,https://leetcode.com/problems/number-of-longest-increasing-subsequence,"Array, Dynamic Programming, Binary Indexed Tree, Segment Tree"
6,Reverse Nodes in k-Group,62.0%,Hard,77.6,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
7,Count Unreachable Pairs of Nodes in an Undirected Graph,49.2%,Medium,77.6,https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph,"Depth-First Search, Breadth-First Search, Union Find, Graph"
8,Rotating the Box,79.1%,Medium,62.2,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
9,Longest Palindromic Substring,35.3%,Medium,62.2,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
10,Find Peak Element,46.3%,Medium,62.2,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
