ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Design Hit Counter,69.0%,Medium,100.0,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
2,IP to CIDR,55.7%,Medium,91.4,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
3,House Robber,52.0%,Medium,88.3,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
4,Design Tic-Tac-Toe,58.4%,Medium,86.1,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
5,House Robber II,43.1%,Medium,84.6,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
6,Time Based Key-Value Store,49.4%,Medium,80.9,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
7,Snapshot Array,36.8%,Medium,73.8,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
8,Closest Leaf in a Binary Tree,46.9%,Medium,68.8,https://leetcode.com/problems/closest-leaf-in-a-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
9,Longest Palindrome by Concatenating Two Letter Words,47.9%,Medium,68.8,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words,"Array, Hash Table, String, Greedy, Counting"
10,Smallest Range Covering Elements from K Lists,69.8%,Hard,62.1,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
11,Minimum Absolute Difference Between Elements With Constraint,34.8%,Medium,62.1,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
12,Web Crawler Multithreaded,49.6%,Medium,62.1,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
13,Split Message Based on Limit,43.1%,Hard,59.1,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
14,Number of Flowers in Full Bloom,57.1%,Hard,55.7,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
15,Step-By-Step Directions From a Binary Tree Node to Another,56.4%,Medium,55.7,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
16,Text Justification,47.1%,Hard,55.7,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
17,Longest Mountain in Array,40.8%,Medium,46.1,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
18,Count Integers in Intervals,35.9%,Hard,46.1,https://leetcode.com/problems/count-integers-in-intervals,"Design, Segment Tree, Ordered Set"
19,Second Degree Follower,39.7%,Medium,46.1,https://leetcode.com/problems/second-degree-follower,Database
20,Finding Pairs With a Certain Sum,51.7%,Medium,38.5,https://leetcode.com/problems/finding-pairs-with-a-certain-sum,"Array, Hash Table, Design"
21,Merge Intervals,48.8%,Medium,38.5,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
22,Number of Recent Calls,77.1%,Easy,38.5,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
23,String to Integer (atoi),18.7%,Medium,38.5,https://leetcode.com/problems/string-to-integer-atoi,String
24,Spiral Matrix,52.9%,Medium,38.5,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
25,Find Peak Element,46.3%,Medium,38.5,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
26,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,56.7%,Medium,38.5,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
27,Maximum Profit in Job Scheduling,54.3%,Hard,38.5,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
28,Find the Length of the Longest Common Prefix,56.3%,Medium,38.5,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
29,Data Stream as Disjoint Intervals,60.3%,Hard,38.5,https://leetcode.com/problems/data-stream-as-disjoint-intervals,"Binary Search, Design, Ordered Set"
30,First Missing Positive,40.6%,Hard,38.5,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
31,Web Crawler,68.5%,Medium,38.5,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
32,Course Schedule II,52.6%,Medium,38.5,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
33,Accounts Merge,58.9%,Medium,38.5,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
34,Design A Leaderboard,67.9%,Medium,38.5,https://leetcode.com/problems/design-a-leaderboard,"Hash Table, Design, Sorting"
35,Find All Anagrams in a String,51.8%,Medium,38.5,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
