ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Coin Change,45.8%,Medium,100.0,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
2,Maximum Depth of N-ary Tree,72.8%,Easy,83.3,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,"Tree, Depth-First Search, Breadth-First Search"
3,Design Circular Queue,52.4%,Medium,83.3,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
4,Valid Word Abbreviation,36.6%,Easy,61.7,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
5,Binary Tree Maximum Path Sum,40.9%,Hard,61.7,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
6,Maximum Vacation Days,46.2%,Hard,61.7,https://leetcode.com/problems/maximum-vacation-days,"Array, Dynamic Programming, Matrix"
7,Sliding Window Median,38.7%,Hard,61.7,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
8,Check If It Is a Straight Line,39.6%,Easy,53.7,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
9,Most Common Word,44.5%,Easy,53.7,https://leetcode.com/problems/most-common-word,"Array, Hash Table, String, Counting"
10,Unique Number of Occurrences,78.0%,Easy,53.7,https://leetcode.com/problems/unique-number-of-occurrences,"Array, Hash Table"
11,Binary Search Tree to Greater Sum Tree,88.3%,Medium,53.7,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
12,People Whose List of Favorite Companies Is Not a Subset of Another List,59.3%,Medium,53.7,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,"Array, Hash Table, String"
13,Odd String Difference,60.7%,Easy,53.7,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
14,Find Words That Can Be Formed by Characters,70.9%,Easy,53.7,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
15,Greatest Common Divisor of Strings,52.5%,Easy,53.7,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String"
