ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Coin Change,45.8%,Medium,100.0,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
2,Most Common Word,44.5%,Easy,93.7,https://leetcode.com/problems/most-common-word,"Array, Hash Table, String, Counting"
3,Maximum Depth of N-ary Tree,72.8%,Easy,90.2,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,"Tree, Depth-First Search, Breadth-First Search"
4,Design Circular Queue,52.4%,Medium,86.1,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
5,Valid Word Abbreviation,36.6%,Easy,84.5,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
6,Meeting Scheduler,55.2%,Medium,82.7,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
7,Sliding Window Median,38.7%,Hard,70.6,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
8,Maximum Vacation Days,46.2%,Hard,66.9,https://leetcode.com/problems/maximum-vacation-days,"Array, Dynamic Programming, Matrix"
9,Binary Tree Maximum Path Sum,40.9%,Hard,66.9,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
10,Design Add and Search Words Data Structure,46.7%,Medium,66.9,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
11,People Whose List of Favorite Companies Is Not a Subset of Another List,59.3%,Medium,62.4,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,"Array, Hash Table, String"
12,Check If It Is a Straight Line,39.6%,Easy,56.7,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
13,Unique Number of Occurrences,78.0%,Easy,48.6,https://leetcode.com/problems/unique-number-of-occurrences,"Array, Hash Table"
14,Binary Search Tree to Greater Sum Tree,88.3%,Medium,48.6,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
15,Odd String Difference,60.7%,Easy,48.6,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
16,Find Words That Can Be Formed by Characters,70.9%,Easy,48.6,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
17,Greatest Common Divisor of Strings,52.5%,Easy,48.6,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String"
