ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Binary Tree Cameras,47.0%,Hard,100.0,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
2,Minimum Size Subarray in Infinite Array,31.1%,Medium,89.9,https://leetcode.com/problems/minimum-size-subarray-in-infinite-array,"Array, Hash Table, Sliding Window, Prefix Sum"
3,Maximum Subsequence Score,54.1%,Medium,86.1,https://leetcode.com/problems/maximum-subsequence-score,"Array, Greedy, Sorting, Heap (Priority Queue)"
4,Removing Minimum Number of Magic Beans,43.2%,Medium,86.1,https://leetcode.com/problems/removing-minimum-number-of-magic-beans,"Array, Greedy, Sorting, Enumeration, Prefix Sum"
5,Letter Combinations of a Phone Number,63.1%,Medium,86.1,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
6,Minimum Cost Walk in Weighted Graph,45.8%,Hard,83.9,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph,"Array, Bit Manipulation, Union Find, Graph"
7,Relative Sort Array,74.9%,Easy,83.9,https://leetcode.com/problems/relative-sort-array,"Array, Hash Table, Sorting, Counting Sort"
8,Max Number of K-Sum Pairs,55.9%,Medium,83.9,https://leetcode.com/problems/max-number-of-k-sum-pairs,"Array, Hash Table, Two Pointers, Sorting"
9,Maximum Points After Collecting Coins From All Nodes,36.2%,Hard,83.9,https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Memoization"
10,Sum Game,48.2%,Medium,83.9,https://leetcode.com/problems/sum-game,"Math, String, Greedy, Game Theory"
11,Equal Row and Column Pairs,70.4%,Medium,81.5,https://leetcode.com/problems/equal-row-and-column-pairs,"Array, Hash Table, Matrix, Simulation"
12,Query Kth Smallest Trimmed Number,45.3%,Medium,81.5,https://leetcode.com/problems/query-kth-smallest-trimmed-number,"Array, String, Divide and Conquer, Sorting, Heap (Priority Queue), Radix Sort, Quickselect"
13,Number of Subarrays With AND Value of K,34.1%,Hard,81.5,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k,"Array, Binary Search, Bit Manipulation, Segment Tree"
14,Greatest Sum Divisible by Three,50.7%,Medium,81.5,https://leetcode.com/problems/greatest-sum-divisible-by-three,"Array, Dynamic Programming, Greedy, Sorting"
15,Minimum Deletions to Make String K-Special,44.3%,Medium,81.5,https://leetcode.com/problems/minimum-deletions-to-make-string-k-special,"Hash Table, String, Greedy, Sorting, Counting"
16,Number of Substrings Containing All Three Characters,68.8%,Medium,81.5,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters,"Hash Table, String, Sliding Window"
17,Maximum Strength of K Disjoint Subarrays,27.2%,Hard,81.5,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays,"Array, Dynamic Programming, Prefix Sum"
18,Maximum Deletions on a String,34.4%,Hard,81.5,https://leetcode.com/problems/maximum-deletions-on-a-string,"String, Dynamic Programming, Rolling Hash, String Matching, Hash Function"
19,Find the Sum of the Power of All Subsequences,36.9%,Hard,81.5,https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences,"Array, Dynamic Programming"
20,Median of a Row Wise Sorted Matrix,68.9%,Medium,81.5,https://leetcode.com/problems/median-of-a-row-wise-sorted-matrix,"Array, Binary Search, Matrix"
21,Find the Maximum Divisibility Score,50.2%,Easy,81.5,https://leetcode.com/problems/find-the-maximum-divisibility-score,Array
22,Find Peak Calling Hours for Each City,61.7%,Medium,81.5,https://leetcode.com/problems/find-peak-calling-hours-for-each-city,Database
23,Determine the Winner of a Bowling Game,35.5%,Easy,81.5,https://leetcode.com/problems/determine-the-winner-of-a-bowling-game,"Array, Simulation"
24,Shortest String That Contains Three Strings,31.3%,Medium,81.5,https://leetcode.com/problems/shortest-string-that-contains-three-strings,"String, Greedy, Enumeration"
25,Take Gifts From the Richest Pile,75.7%,Easy,81.5,https://leetcode.com/problems/take-gifts-from-the-richest-pile,"Array, Heap (Priority Queue), Simulation"
26,Count the Number of Incremovable Subarrays II,40.2%,Hard,76.0,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
27,Number of Wonderful Substrings,66.8%,Medium,68.9,https://leetcode.com/problems/number-of-wonderful-substrings,"Hash Table, String, Bit Manipulation, Prefix Sum"
28,Insert Delete GetRandom O(1),54.9%,Medium,68.9,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
29,Best Time to Buy and Sell Stock,54.8%,Easy,68.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
30,K-th Smallest in Lexicographical Order,42.0%,Hard,64.3,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Trie
31,Remove K Digits,34.4%,Medium,64.3,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
32,Painting the Walls,50.3%,Hard,64.3,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
33,House Robber,52.0%,Medium,64.3,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
34,Majority Element,65.5%,Easy,64.3,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
35,Minimum Number of Refueling Stops,40.4%,Hard,64.3,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
36,Minimum Number of Taps to Open to Water a Garden,50.7%,Hard,64.3,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
37,Best Time to Buy and Sell Stock II,68.9%,Medium,58.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
38,Longest Increasing Path in a Matrix,54.9%,Hard,58.8,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
39,Median of Two Sorted Arrays,42.9%,Hard,58.8,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
40,Sliding Window Maximum,47.2%,Hard,58.8,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
41,Longest Consecutive Sequence,47.2%,Medium,58.8,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
42,Maximal Square,48.2%,Medium,58.8,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
43,Maximum Product Subarray,34.5%,Medium,58.8,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
44,Maximum Subarray,51.7%,Medium,58.8,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
45,Peak Index in a Mountain Array,67.8%,Medium,51.7,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search"
46,Unique Paths,65.4%,Medium,51.7,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
47,Min Cost to Connect All Points,68.4%,Medium,51.7,https://leetcode.com/problems/min-cost-to-connect-all-points,"Array, Union Find, Graph, Minimum Spanning Tree"
48,Average Waiting Time,73.1%,Medium,51.7,https://leetcode.com/problems/average-waiting-time,"Array, Simulation"
49,All Nodes Distance K in Binary Tree,65.9%,Medium,51.7,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
50,Largest Rectangle in Histogram,46.6%,Hard,51.7,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
51,Jump Game II,41.1%,Medium,51.7,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
52,Trapping Rain Water,64.3%,Hard,51.7,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
53,Minimum Number of Pushes to Type Word II,80.3%,Medium,51.7,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii,"Hash Table, String, Greedy, Sorting, Counting"
54,Koko Eating Bananas,48.8%,Medium,51.7,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
55,Generate Parentheses,76.5%,Medium,51.7,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
56,Find the Smallest Divisor Given a Threshold,62.6%,Medium,51.7,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
57,Task Scheduler,61.0%,Medium,51.7,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
58,Spiral Matrix,52.9%,Medium,51.7,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
59,Maximum Performance of a Team,47.6%,Hard,51.7,https://leetcode.com/problems/maximum-performance-of-a-team,"Array, Greedy, Sorting, Heap (Priority Queue)"
60,Basic Calculator II,45.3%,Medium,51.7,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
61,Maximal Rectangle,52.9%,Hard,51.7,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
62,Max Sum of Rectangle No Larger Than K,44.5%,Hard,51.7,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,"Array, Binary Search, Matrix, Prefix Sum, Ordered Set"
