ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Smallest K-Length Subsequence With Occurrences of a Letter,39.7%,Hard,100.0,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter,"String, Stack, Greedy, Monotonic Stack"
2,Maximum Running Time of N Computers,49.9%,Hard,91.3,https://leetcode.com/problems/maximum-running-time-of-n-computers,"Array, Binary Search, Greedy, Sorting"
3,Find the Maximum Sum of Node Values,65.7%,Hard,91.3,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,"Array, Dynamic Programming, Greedy, Bit Manipulation, Tree, Sorting"
4,Pour Water Between Buckets to Make Water Levels Equal,66.6%,Medium,89.1,https://leetcode.com/problems/pour-water-between-buckets-to-make-water-levels-equal,"Array, Binary Search"
5,Minimum Operations to Collect Elements,60.9%,Easy,89.1,https://leetcode.com/problems/minimum-operations-to-collect-elements,"Array, Hash Table, Bit Manipulation"
6,Maximum Coins Heroes Can Collect,68.5%,Medium,89.1,https://leetcode.com/problems/maximum-coins-heroes-can-collect,"Array, Two Pointers, Binary Search, Sorting, Prefix Sum"
7,The Time When the Network Becomes Idle,53.0%,Medium,89.1,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph"
8,Minimum Operations to Make the Array Increasing,80.7%,Easy,89.1,https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing,"Array, Greedy"
9,Apply Operations to Maximize Frequency Score,37.3%,Hard,89.1,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score,"Array, Binary Search, Sliding Window, Sorting, Prefix Sum"
10,Minimize the Difference Between Target and Chosen Elements,35.7%,Medium,86.6,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements,"Array, Dynamic Programming, Matrix"
11,Boats to Save People,59.9%,Medium,83.9,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
12,Koko Eating Bananas,48.8%,Medium,80.8,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
13,Robot Collisions,56.8%,Hard,80.8,https://leetcode.com/problems/robot-collisions,"Array, Stack, Sorting, Simulation"
14,Collecting Chocolates,34.1%,Medium,73.0,https://leetcode.com/problems/collecting-chocolates,"Array, Enumeration"
15,Asteroid Collision,45.1%,Medium,67.8,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
16,Longest Common Prefix,44.9%,Easy,67.8,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
17,Best Time to Buy and Sell Stock,54.8%,Easy,67.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
18,Maximum Fruits Harvested After at Most K Steps,36.3%,Hard,61.1,https://leetcode.com/problems/maximum-fruits-harvested-after-at-most-k-steps,"Array, Binary Search, Sliding Window, Prefix Sum"
19,Frequency of the Most Frequent Element,44.0%,Medium,61.1,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
20,Kth Largest Element in an Array,67.6%,Medium,51.8,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
21,Minimize Manhattan Distances,31.6%,Hard,51.8,https://leetcode.com/problems/minimize-manhattan-distances,"Array, Math, Geometry, Sorting, Ordered Set"
22,Reverse Linked List,78.7%,Easy,51.8,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
23,Reverse String,79.5%,Easy,51.8,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
24,Best Time to Buy and Sell Stock II,68.9%,Medium,51.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
25,Fruit Into Baskets,45.6%,Medium,51.8,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
26,Validate IP Address,27.7%,Medium,51.8,https://leetcode.com/problems/validate-ip-address,String
27,Generate Parentheses,76.5%,Medium,51.8,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
28,Rotting Oranges,56.0%,Medium,51.8,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
29,Design HashMap,65.7%,Easy,51.8,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
30,Two Sum,55.1%,Easy,51.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
