ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Rotting Oranges,56.0%,Medium,100.0,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
2,Copy List with Random Pointer,59.5%,Medium,100.0,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
3,Product of Array Except Self,67.4%,Medium,93.6,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
4,Sort Colors,66.4%,Medium,85.3,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
5,Design Authentication Manager,58.1%,Medium,85.3,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
6,Reaching Points,33.6%,Hard,85.3,https://leetcode.com/problems/reaching-points,Math
7,Implement Trie (Prefix Tree),67.4%,Medium,85.3,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
8,Excel Sheet Column Number,65.3%,Easy,85.3,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
9,Merge Intervals,48.8%,Medium,85.3,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
10,Valid Parentheses,41.8%,Easy,85.3,https://leetcode.com/problems/valid-parentheses,"String, Stack"
11,3Sum,36.4%,Medium,85.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
12,Clone Graph,61.2%,Medium,73.7,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
13,Longest Substring Without Repeating Characters,36.3%,Medium,73.7,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
14,Minesweeper,67.7%,Medium,73.7,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
15,Top K Frequent Elements,64.1%,Medium,73.7,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
16,Boats to Save People,59.9%,Medium,73.7,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
17,Optimal Partition of String,78.1%,Medium,73.7,https://leetcode.com/problems/optimal-partition-of-string,"Hash Table, String, Greedy"
18,IPO,53.0%,Hard,73.7,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
19,Binary Tree Zigzag Level Order Traversal,61.0%,Medium,73.7,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
20,Palindrome Permutation,68.1%,Easy,73.7,https://leetcode.com/problems/palindrome-permutation,"Hash Table, String, Bit Manipulation"
21,Binary Tree Level Order Traversal,69.8%,Medium,73.7,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
22,Two Sum,55.1%,Easy,73.7,https://leetcode.com/problems/two-sum,"Array, Hash Table"
