ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Copy List with Random Pointer,59.5%,Medium,100.0,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
2,Rotting Oranges,56.0%,Medium,94.8,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
3,Merge Intervals,48.8%,Medium,94.8,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
4,Implement Trie (Prefix Tree),67.4%,Medium,88.5,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
5,Longest Substring Without Repeating Characters,36.3%,Medium,88.5,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
6,Product of Array Except Self,67.4%,Medium,88.5,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
7,Design Authentication Manager,58.1%,Medium,80.3,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
8,Find Median from Data Stream,53.0%,Hard,80.3,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
9,Top K Frequent Elements,64.1%,Medium,80.3,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
10,Reaching Points,33.6%,Hard,80.3,https://leetcode.com/problems/reaching-points,Math
11,Excel Sheet Column Number,65.3%,Easy,80.3,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
12,Sort Colors,66.4%,Medium,80.3,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
13,Valid Parentheses,41.8%,Easy,80.3,https://leetcode.com/problems/valid-parentheses,"String, Stack"
14,3Sum,36.4%,Medium,80.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
15,Reorder Routes to Make All Paths Lead to the City Zero,64.8%,Medium,68.9,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero,"Depth-First Search, Breadth-First Search, Graph"
16,Course Schedule,48.5%,Medium,68.9,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
17,Insert Delete GetRandom O(1),54.9%,Medium,68.9,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
18,Shortest Bridge,58.3%,Medium,68.9,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
19,Peak Index in a Mountain Array,67.8%,Medium,68.9,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search"
20,Inorder Successor in BST,50.5%,Medium,68.9,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
21,Count Good Nodes in Binary Tree,73.3%,Medium,68.9,https://leetcode.com/problems/count-good-nodes-in-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
22,Two Sum,55.1%,Easy,68.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
23,Optimal Partition of String,78.1%,Medium,68.9,https://leetcode.com/problems/optimal-partition-of-string,"Hash Table, String, Greedy"
24,LRU Cache,44.4%,Medium,68.9,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
25,Palindrome Permutation,68.1%,Easy,68.9,https://leetcode.com/problems/palindrome-permutation,"Hash Table, String, Bit Manipulation"
26,Binary Tree Level Order Traversal,69.8%,Medium,68.9,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
27,IPO,53.0%,Hard,68.9,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
28,Boats to Save People,59.9%,Medium,68.9,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
29,Clone Graph,61.2%,Medium,68.9,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
30,Binary Tree Zigzag Level Order Traversal,61.0%,Medium,68.9,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
31,Minesweeper,67.7%,Medium,68.9,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
32,Design Add and Search Words Data Structure,46.7%,Medium,68.9,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
