ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Binary Tree Maximum Path Sum,40.9%,Hard,100.0,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
2,Walls and Gates,62.6%,Medium,100.0,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
3,Maximum Profit in Job Scheduling,54.3%,Hard,94.5,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
4,Longest Increasing Path in a Matrix,54.9%,Hard,86.3,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
5,Most Profit Assigning Work,55.9%,Medium,84.6,https://leetcode.com/problems/most-profit-assigning-work,"Array, Two Pointers, Binary Search, Greedy, Sorting"
6,Design File System,63.8%,Medium,83.9,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
7,Koko Eating Bananas,48.8%,Medium,80.4,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
8,Check if One String Swap Can Make Strings Equal,49.5%,Easy,80.4,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
9,Count Sub Islands,72.8%,Medium,74.1,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
10,Minimum Number of Steps to Make Two Strings Anagram,82.2%,Medium,74.1,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
11,Search Suggestions System,65.0%,Medium,74.1,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
12,Find Nearest Point That Has the Same X or Y Coordinate,69.2%,Easy,73.0,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,Array
13,Asteroid Collision,45.1%,Medium,73.0,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
14,Single-Threaded CPU,46.1%,Medium,69.2,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)"
15,Next Greater Element III,34.4%,Medium,69.2,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
16,Making A Large Island,54.3%,Hard,67.8,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
17,Find K Closest Elements,48.3%,Medium,67.8,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
18,Buddy Strings,33.5%,Easy,67.8,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
19,Shortest Distance from All Buildings,43.8%,Hard,64.6,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
20,Serialize and Deserialize Binary Tree,58.4%,Hard,64.6,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
21,Task Scheduler,61.0%,Medium,62.7,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
22,Basic Calculator II,45.3%,Medium,60.7,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
23,Basic Calculator III,51.9%,Hard,58.4,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
24,Implement Trie (Prefix Tree),67.4%,Medium,58.4,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
25,Best Meeting Point,61.2%,Hard,58.4,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
26,Course Schedule II,52.6%,Medium,58.4,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
27,Jump Game,39.1%,Medium,55.9,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
28,Count Nodes With the Highest Score,50.9%,Medium,55.9,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
29,Two Sum,55.1%,Easy,52.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
30,Number of Visible People in a Queue,70.5%,Hard,52.9,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
31,Swim in Rising Water,62.2%,Hard,52.9,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
32,Next Permutation,42.3%,Medium,49.4,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
33,Design In-Memory File System,48.0%,Hard,49.4,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
34,Count All Valid Pickup and Delivery Options,64.9%,Hard,49.4,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options,"Math, Dynamic Programming, Combinatorics"
35,Largest Rectangle in Histogram,46.6%,Hard,45.1,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
36,Vertical Order Traversal of a Binary Tree,50.4%,Hard,45.1,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
37,Basic Calculator,44.9%,Hard,45.1,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
38,Find the Celebrity,48.2%,Medium,39.6,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
39,Immediate Food Delivery II,53.8%,Medium,39.6,https://leetcode.com/problems/immediate-food-delivery-ii,Database
40,Interval List Intersections,72.5%,Medium,39.6,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
41,Immediate Food Delivery I,80.9%,Easy,39.6,https://leetcode.com/problems/immediate-food-delivery-i,Database
42,Maximum Gap,48.6%,Medium,39.6,https://leetcode.com/problems/maximum-gap,"Array, Sorting, Bucket Sort, Radix Sort"
43,Capacity To Ship Packages Within D Days,71.4%,Medium,39.6,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
44,Shortest Path to Get Food,56.4%,Medium,39.6,https://leetcode.com/problems/shortest-path-to-get-food,"Array, Breadth-First Search, Matrix"
45,Sudoku Solver,63.7%,Hard,39.6,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
46,Jump Game II,41.1%,Medium,39.6,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
47,Number of Islands,61.6%,Medium,39.6,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
48,Design Add and Search Words Data Structure,46.7%,Medium,39.6,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
49,Maximum Performance of a Team,47.6%,Hard,32.0,https://leetcode.com/problems/maximum-performance-of-a-team,"Array, Greedy, Sorting, Heap (Priority Queue)"
50,Longest Common Subsequence,58.0%,Medium,32.0,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
51,Mice and Cheese,46.9%,Medium,32.0,https://leetcode.com/problems/mice-and-cheese,"Array, Greedy, Sorting, Heap (Priority Queue)"
52,Analyze User Website Visit Pattern,43.2%,Medium,32.0,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, Sorting"
53,Path With Maximum Minimum Value,53.9%,Medium,32.0,https://leetcode.com/problems/path-with-maximum-minimum-value,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
54,Subsequence With the Minimum Score,32.4%,Hard,32.0,https://leetcode.com/problems/subsequence-with-the-minimum-score,"Two Pointers, String, Binary Search"
55,Move Zeroes,62.5%,Easy,32.0,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
56,Valid Sudoku,61.7%,Medium,32.0,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
57,Word Search II,37.0%,Hard,32.0,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
58,Employee Free Time,72.5%,Hard,32.0,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
59,Diameter of N-Ary Tree,74.8%,Medium,32.0,https://leetcode.com/problems/diameter-of-n-ary-tree,"Tree, Depth-First Search"
60,Maximum Path Quality of a Graph,59.4%,Hard,32.0,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph"
61,3Sum,36.4%,Medium,32.0,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
62,Number of Provinces,68.0%,Medium,32.0,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
63,Sliding Window Maximum,47.2%,Hard,32.0,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
64,Meeting Rooms II,51.9%,Medium,32.0,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
65,Max Area of Island,72.9%,Medium,32.0,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
