ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Move Zeroes,62.5%,Easy,100.0,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
2,Longest Substring Without Repeating Characters,36.3%,Medium,95.5,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
3,Kth Largest Element in an Array,67.6%,Medium,90.1,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
4,Number of Islands,61.6%,Medium,90.1,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
5,LRU Cache,44.4%,Medium,90.1,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
6,Valid Parentheses,41.8%,Easy,83.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
7,Partition Equal Subset Sum,47.2%,Medium,83.5,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
8,Meeting Rooms II,51.9%,Medium,83.5,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
9,Group Anagrams,70.3%,Medium,83.5,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
10,Word Search II,37.0%,Hard,83.5,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
11,Course Schedule II,52.6%,Medium,83.5,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
12,Concatenated Words,49.4%,Hard,75.1,https://leetcode.com/problems/concatenated-words,"Array, String, Dynamic Programming, Depth-First Search, Trie"
13,Longest ZigZag Path in a Binary Tree,66.3%,Medium,75.1,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
14,Binary Search Tree to Greater Sum Tree,88.3%,Medium,75.1,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
15,Decode String,60.7%,Medium,75.1,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
16,Word Break,47.9%,Medium,75.1,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
17,Find Minimum in Rotated Sorted Array,52.2%,Medium,75.1,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
18,Meeting Rooms,58.8%,Easy,75.1,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
19,Word Ladder,41.8%,Hard,75.1,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
20,Binary Tree Zigzag Level Order Traversal,61.0%,Medium,75.1,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
21,Merge Intervals,48.8%,Medium,75.1,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
22,Merge k Sorted Lists,55.8%,Hard,75.1,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
23,Copy List with Random Pointer,59.5%,Medium,63.3,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
24,Two Sum,55.1%,Easy,63.3,https://leetcode.com/problems/two-sum,"Array, Hash Table"
25,Integer to Roman,67.9%,Medium,63.3,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
26,Nested List Weight Sum,85.2%,Medium,63.3,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
27,Permutations,80.1%,Medium,63.3,https://leetcode.com/problems/permutations,"Array, Backtracking"
28,Rank Teams by Votes,59.0%,Medium,63.3,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
29,Reorganize String,55.8%,Medium,63.3,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
30,Top K Frequent Elements,64.1%,Medium,63.3,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
31,Find Pivot Index,59.9%,Easy,63.3,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
32,Integer to English Words,34.3%,Hard,63.3,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
33,Minimize Maximum Pair Sum in Array,81.4%,Medium,63.3,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,"Array, Two Pointers, Greedy, Sorting"
