ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Partition Equal Subset Sum,47.2%,Medium,100.0,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
2,LRU Cache,44.4%,Medium,97.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
3,Alternating Digit Sum,68.5%,Easy,95.1,https://leetcode.com/problems/alternating-digit-sum,Math
4,Subtree of Another Tree,49.5%,Easy,95.1,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function"
5,Minimize Maximum Pair Sum in Array,81.4%,Medium,95.1,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,"Array, Two Pointers, Greedy, Sorting"
6,Binary Gap,64.5%,Easy,95.1,https://leetcode.com/problems/binary-gap,Bit Manipulation
7,Design Skiplist,61.8%,Hard,95.1,https://leetcode.com/problems/design-skiplist,"Linked List, Design"
8,Minimum Window Subsequence,43.6%,Hard,95.1,https://leetcode.com/problems/minimum-window-subsequence,"String, Dynamic Programming, Sliding Window"
9,Remove One Element to Make the Array Strictly Increasing,28.5%,Easy,95.1,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,Array
10,Number of Islands,61.6%,Medium,89.2,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
11,Word Ladder,41.8%,Hard,85.6,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
12,Move Zeroes,62.5%,Easy,85.6,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
13,Longest Substring Without Repeating Characters,36.3%,Medium,81.5,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
14,Group Anagrams,70.3%,Medium,76.7,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
15,Spiral Matrix,52.9%,Medium,76.7,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
16,Valid Parentheses,41.8%,Easy,76.7,https://leetcode.com/problems/valid-parentheses,"String, Stack"
17,Kth Largest Element in an Array,67.6%,Medium,76.7,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
18,Word Search II,37.0%,Hard,70.7,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
19,Course Schedule II,52.6%,Medium,70.7,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
20,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,56.7%,Medium,70.7,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
21,Binary Tree Zigzag Level Order Traversal,61.0%,Medium,70.7,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
22,Merge Intervals,48.8%,Medium,70.7,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
23,Meeting Rooms II,51.9%,Medium,70.7,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
24,Reconstruct Itinerary,43.4%,Hard,70.7,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
25,Merge k Sorted Lists,55.8%,Hard,70.7,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
26,Longest ZigZag Path in a Binary Tree,66.3%,Medium,63.1,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
27,Decode String,60.7%,Medium,63.1,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
28,Reorganize String,55.8%,Medium,63.1,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
29,Binary Search Tree to Greater Sum Tree,88.3%,Medium,63.1,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
30,Meeting Rooms,58.8%,Easy,63.1,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
31,Course Schedule,48.5%,Medium,63.1,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
32,Concatenated Words,49.4%,Hard,63.1,https://leetcode.com/problems/concatenated-words,"Array, String, Dynamic Programming, Depth-First Search, Trie"
33,Search in Rotated Sorted Array,42.3%,Medium,63.1,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
34,Open the Lock,60.6%,Medium,63.1,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
35,Word Break,47.9%,Medium,63.1,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
36,Best Time to Buy and Sell Stock II,68.9%,Medium,63.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
37,Find Minimum in Rotated Sorted Array,52.2%,Medium,63.1,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
38,Integer to English Words,34.3%,Hard,52.5,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
39,Valid Palindrome II,42.5%,Easy,52.5,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
40,3Sum,36.4%,Medium,52.5,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
41,Design a Stack With Increment Operation,80.5%,Medium,52.5,https://leetcode.com/problems/design-a-stack-with-increment-operation,"Array, Stack, Design"
42,Minimum Path Sum,65.8%,Medium,52.5,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
43,Koko Eating Bananas,48.8%,Medium,52.5,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
44,Binary Tree Cameras,47.0%,Hard,52.5,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
45,Product of Array Except Self,67.4%,Medium,52.5,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
46,Generate Parentheses,76.5%,Medium,52.5,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
47,Longest Common Prefix,44.9%,Easy,52.5,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
48,Repeated Substring Pattern,46.6%,Easy,52.5,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching"
49,Rank Teams by Votes,59.0%,Medium,52.5,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
50,Two Sum,55.1%,Easy,52.5,https://leetcode.com/problems/two-sum,"Array, Hash Table"
51,Find Pivot Index,59.9%,Easy,52.5,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
52,Maximum Tastiness of Candy Basket,65.5%,Medium,52.5,https://leetcode.com/problems/maximum-tastiness-of-candy-basket,"Array, Binary Search, Greedy, Sorting"
53,Median of Two Sorted Arrays,42.9%,Hard,52.5,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
54,Longest Palindromic Substring,35.3%,Medium,52.5,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
55,Container With Most Water,57.2%,Medium,52.5,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
56,Integer to Roman,67.9%,Medium,52.5,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
57,Roman to Integer,64.2%,Easy,52.5,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
58,Find the Index of the First Occurrence in a String,44.5%,Easy,52.5,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
59,Longest Valid Parentheses,35.7%,Hard,52.5,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
60,First Missing Positive,40.6%,Hard,52.5,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
61,Trapping Rain Water,64.3%,Hard,52.5,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
62,Rotate Image,77.2%,Medium,52.5,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
63,Maximum Subarray,51.7%,Medium,52.5,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
64,Validate Binary Search Tree,34.0%,Medium,52.5,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
65,Best Time to Buy and Sell Stock,54.8%,Easy,52.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
66,Copy List with Random Pointer,59.5%,Medium,52.5,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
67,Longest Substring with At Most Two Distinct Characters,56.1%,Medium,52.5,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,"Hash Table, String, Sliding Window"
68,Two Sum II - Input Array Is Sorted,62.9%,Medium,52.5,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
69,Majority Element,65.5%,Easy,52.5,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
70,Rotate Array,42.5%,Medium,52.5,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
71,Shortest Palindrome,40.3%,Hard,52.5,https://leetcode.com/problems/shortest-palindrome,"String, Rolling Hash, String Matching, Hash Function"
72,Maximal Square,48.2%,Medium,52.5,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
73,Permutations,80.1%,Medium,52.5,https://leetcode.com/problems/permutations,"Array, Backtracking"
74,Nested List Weight Sum,85.2%,Medium,52.5,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
75,Top K Frequent Elements,64.1%,Medium,52.5,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
76,Vertical Order Traversal of a Binary Tree,50.4%,Hard,52.5,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
