ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Valid Parentheses,41.8%,Easy,100.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
2,Group Anagrams,70.3%,Medium,97.3,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
3,Two Sum,55.1%,Easy,91.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
4,Longest Substring Without Repeating Characters,36.3%,Medium,91.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
5,Longest Palindromic Substring,35.3%,Medium,82.5,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
6,Valid Palindrome,50.2%,Easy,82.5,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
7,Best Time to Buy and Sell Stock,54.8%,Easy,76.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
8,Merge Sorted Array,52.3%,Easy,76.9,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
9,Trapping Rain Water,64.3%,Hard,76.9,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
10,Merge Two Sorted Lists,66.3%,Easy,69.7,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
11,Gas Station,46.0%,Medium,69.7,https://leetcode.com/problems/gas-station,"Array, Greedy"
12,Isomorphic Strings,46.4%,Easy,69.7,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
13,Valid Anagram,66.2%,Easy,69.7,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
14,Palindrome Number,58.7%,Easy,69.7,https://leetcode.com/problems/palindrome-number,Math
15,Partition Equal Subset Sum,47.2%,Medium,59.5,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
16,House Robber,52.0%,Medium,59.5,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
17,Asteroid Collision,45.1%,Medium,59.5,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
18,Reverse String,79.5%,Easy,59.5,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
19,Minimum Operations to Make a Uni-Value Grid,53.7%,Medium,59.5,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid,"Array, Math, Sorting, Matrix"
20,Remove Duplicates from Sorted Array,59.5%,Easy,59.5,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
21,Binary Search,59.1%,Easy,59.5,https://leetcode.com/problems/binary-search,"Array, Binary Search"
22,Longest Common Prefix,44.9%,Easy,59.5,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
23,To Be Or Not To Be,62.8%,Easy,59.5,https://leetcode.com/problems/to-be-or-not-to-be,
24,Contains Duplicate,62.8%,Easy,59.5,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
25,Coin Change,45.8%,Medium,59.5,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
26,Ugly Number II,49.2%,Medium,59.5,https://leetcode.com/problems/ugly-number-ii,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
27,Search in Rotated Sorted Array,42.3%,Medium,59.5,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
28,Add Two Numbers,45.4%,Medium,59.5,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
29,Linked List Cycle,52.0%,Easy,59.5,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
30,Pascal's Triangle,76.4%,Easy,59.5,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
31,Maximal Rectangle,52.9%,Hard,59.5,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
32,Edit Distance,58.2%,Medium,59.5,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
33,3Sum,36.4%,Medium,59.5,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
34,Managers with at Least 5 Direct Reports,49.1%,Medium,59.5,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
