ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Valid Parentheses,41.8%,Easy,100.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
2,Two Sum,55.1%,Easy,95.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
3,Group Anagrams,70.3%,Medium,95.4,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
4,Minimum Operations to Make a Uni-Value Grid,53.7%,Medium,95.4,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid,"Array, Math, Sorting, Matrix"
5,Longest Substring Without Repeating Characters,36.3%,Medium,95.4,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
6,Longest Palindromic Substring,35.3%,Medium,86.5,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
7,Valid Palindrome,50.2%,Easy,82.7,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
8,Valid Anagram,66.2%,Easy,78.1,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
9,Merge Sorted Array,52.3%,Easy,78.1,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
10,Best Time to Buy and Sell Stock,54.8%,Easy,72.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
11,Merge Two Sorted Lists,66.3%,Easy,72.5,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
12,Longest Common Prefix,44.9%,Easy,72.5,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
13,Trapping Rain Water,64.3%,Hard,72.5,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
14,Maximum Difference Between Node and Ancestor,78.1%,Medium,65.4,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,"Tree, Depth-First Search, Binary Tree"
15,Isomorphic Strings,46.4%,Easy,65.4,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
16,Gas Station,46.0%,Medium,65.4,https://leetcode.com/problems/gas-station,"Array, Greedy"
17,Palindrome Number,58.7%,Easy,65.4,https://leetcode.com/problems/palindrome-number,Math
18,Reverse String,79.5%,Easy,65.4,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
19,First Missing Positive,40.6%,Hard,55.3,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
20,Binary Search,59.1%,Easy,55.3,https://leetcode.com/problems/binary-search,"Array, Binary Search"
21,String Compression,57.3%,Medium,55.3,https://leetcode.com/problems/string-compression,"Two Pointers, String"
22,Managers with at Least 5 Direct Reports,49.1%,Medium,55.3,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
23,Longest Consecutive Sequence,47.2%,Medium,55.3,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
24,Reverse Integer,29.9%,Medium,55.3,https://leetcode.com/problems/reverse-integer,Math
25,Reverse Linked List II,49.1%,Medium,55.3,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
26,Rotate Array,42.5%,Medium,55.3,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
27,Kth Largest Element in an Array,67.6%,Medium,55.3,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
28,Partition Equal Subset Sum,47.2%,Medium,55.3,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
29,Contains Duplicate,62.8%,Easy,55.3,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
30,House Robber,52.0%,Medium,55.3,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
31,Remove Duplicates from Sorted Array,59.5%,Easy,55.3,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
32,Coin Change,45.8%,Medium,55.3,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
33,Ugly Number II,49.2%,Medium,55.3,https://leetcode.com/problems/ugly-number-ii,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
34,To Be Or Not To Be,62.8%,Easy,55.3,https://leetcode.com/problems/to-be-or-not-to-be,
35,Asteroid Collision,45.1%,Medium,55.3,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
36,Add Two Numbers,45.4%,Medium,55.3,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
37,Linked List Cycle,52.0%,Easy,55.3,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
38,Pascal's Triangle,76.4%,Easy,55.3,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
39,Maximal Rectangle,52.9%,Hard,55.3,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
40,Edit Distance,58.2%,Medium,55.3,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
41,Search in Rotated Sorted Array,42.3%,Medium,55.3,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
42,3Sum,36.4%,Medium,55.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
43,First Unique Character in a String,63.2%,Easy,55.3,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
