ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Valid Parentheses,41.8%,Easy,100.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
2,Two Sum,55.1%,Easy,93.2,https://leetcode.com/problems/two-sum,"Array, Hash Table"
3,Capacity To Ship Packages Within D Days,71.4%,Medium,93.2,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
4,Minimum Number of Swaps to Make the String Balanced,78.0%,Medium,93.2,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy"
5,Find the City With the Smallest Number of Neighbors at a Threshold Distance,69.4%,Medium,93.2,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,"Dynamic Programming, Graph, Shortest Path"
6,Search in Rotated Sorted Array,42.3%,Medium,84.4,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
7,Number of Islands,61.6%,Medium,84.4,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
8,Minimum Replacements to Sort the Array,53.3%,Hard,84.4,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
9,Longest Substring Without Repeating Characters,36.3%,Medium,84.4,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
10,Jump Game II,41.1%,Medium,84.4,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
11,Minimum Swaps to Group All 1's Together,61.0%,Medium,84.4,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,"Array, Sliding Window"
12,Set Matrix Zeroes,58.9%,Medium,84.4,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
13,Find the Smallest Divisor Given a Threshold,62.6%,Medium,84.4,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
14,Unique Substrings With Equal Digit Frequency,64.0%,Medium,72.1,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency,"Hash Table, String, Rolling Hash, Counting, Hash Function"
15,Rearrange Words in a Sentence,65.5%,Medium,72.1,https://leetcode.com/problems/rearrange-words-in-a-sentence,"String, Sorting"
16,Valid Triangle Number,52.0%,Medium,72.1,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
17,Divide Players Into Teams of Equal Skill,69.0%,Medium,72.1,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting"
18,Keys and Rooms,74.2%,Medium,72.1,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
19,String Compression,57.3%,Medium,72.1,https://leetcode.com/problems/string-compression,"Two Pointers, String"
20,The Earliest Moment When Everyone Become Friends,65.6%,Medium,72.1,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union Find, Sorting"
21,Most Visited Sector in  a Circular Track,59.1%,Easy,72.1,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,"Array, Simulation"
22,The kth Factor of n,69.3%,Medium,72.1,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
23,Number of Good Binary Strings,52.3%,Medium,72.1,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
24,Break a Palindrome,51.5%,Medium,72.1,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
25,Valid Word,38.5%,Easy,72.1,https://leetcode.com/problems/valid-word,String
26,Minimum One Bit Operations to Make Integers Zero,73.6%,Hard,72.1,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Dynamic Programming, Bit Manipulation, Memoization"
27,Count Number of Pairs With Absolute Difference K,84.6%,Easy,72.1,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,"Array, Hash Table, Counting"
