ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Find the Smallest Divisor Given a Threshold,62.6%,Medium,100.0,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
2,Valid Triangle Number,52.0%,Medium,97.7,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
3,Minimum Swaps to Group All 1's Together,61.0%,Medium,97.7,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,"Array, Sliding Window"
4,Minimum Replacements to Sort the Array,53.3%,Hard,97.7,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
5,The kth Factor of n,69.3%,Medium,97.7,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
6,Most Visited Sector in  a Circular Track,59.1%,Easy,95.2,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,"Array, Simulation"
7,Number of Good Binary Strings,52.3%,Medium,95.2,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
8,Break a Palindrome,51.5%,Medium,95.2,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
9,Rearrange Words in a Sentence,65.5%,Medium,95.2,https://leetcode.com/problems/rearrange-words-in-a-sentence,"String, Sorting"
10,Divide Players Into Teams of Equal Skill,69.0%,Medium,95.2,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting"
11,The Earliest Moment When Everyone Become Friends,65.6%,Medium,95.2,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union Find, Sorting"
12,String Compression,57.3%,Medium,95.2,https://leetcode.com/problems/string-compression,"Two Pointers, String"
13,Minimum One Bit Operations to Make Integers Zero,73.6%,Hard,95.2,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Dynamic Programming, Bit Manipulation, Memoization"
14,Valid Word,38.5%,Easy,95.2,https://leetcode.com/problems/valid-word,String
15,Unique Substrings With Equal Digit Frequency,64.0%,Medium,95.2,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency,"Hash Table, String, Rolling Hash, Counting, Hash Function"
16,Valid Parentheses,41.8%,Easy,85.9,https://leetcode.com/problems/valid-parentheses,"String, Stack"
17,Remove Duplicate Letters,50.8%,Medium,81.8,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
18,Two Sum,55.1%,Easy,77.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
19,Trapping Rain Water,64.3%,Hard,71.2,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
20,Roman to Integer,64.2%,Easy,71.2,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
21,Capacity To Ship Packages Within D Days,71.4%,Medium,71.2,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
22,Set Matrix Zeroes,58.9%,Medium,71.2,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
23,Longest Substring Without Repeating Characters,36.3%,Medium,71.2,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
24,Find the City With the Smallest Number of Neighbors at a Threshold Distance,69.4%,Medium,71.2,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,"Dynamic Programming, Graph, Shortest Path"
25,Minimum Number of Swaps to Make the String Balanced,78.0%,Medium,71.2,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy"
26,Group Anagrams,70.3%,Medium,63.7,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
