ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Trapping Rain Water,64.3%,Hard,100.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
2,Median of Two Sorted Arrays,42.9%,Hard,79.0,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
3,First Unique Character in a String,63.2%,Easy,77.5,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
4,Fraction to Recurring Decimal,25.9%,Medium,76.4,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
5,Best Time to Buy and Sell Stock,54.8%,Easy,67.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,Container With Most Water,57.2%,Medium,62.9,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
7,String Compression,57.3%,Medium,62.1,https://leetcode.com/problems/string-compression,"Two Pointers, String"
8,Number of Islands,61.6%,Medium,62.1,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
9,Group Anagrams,70.3%,Medium,61.3,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
10,Two Sum,55.1%,Easy,61.3,https://leetcode.com/problems/two-sum,"Array, Hash Table"
11,LRU Cache,44.4%,Medium,59.5,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
12,Find Minimum in Rotated Sorted Array,52.2%,Medium,58.6,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
13,Decode Ways,36.1%,Medium,57.6,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
14,Minimum Path Sum,65.8%,Medium,57.6,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
15,Count Palindromic Subsequences,38.6%,Hard,54.2,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
16,Longest Substring Without Repeating Characters,36.3%,Medium,54.2,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
