ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Merge Sorted Array,52.3%,Easy,77.6,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
2,Trapping Rain Water,64.3%,Hard,75.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
3,Median of Two Sorted Arrays,42.9%,Hard,74.7,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
4,Add Two Numbers,45.4%,Medium,71.6,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
5,Valid Parentheses,41.8%,Easy,69.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
6,Maximum Subarray,51.7%,Medium,62.4,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
7,Remove Duplicates from Sorted Array,59.5%,Easy,60.5,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
8,Maximal Rectangle,52.9%,Hard,58.6,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
9,Rotate Image,77.2%,Medium,58.6,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
10,LRU Cache,44.4%,Medium,58.3,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
11,4Sum,37.6%,Medium,55.8,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
12,Remove Element,59.4%,Easy,55.8,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
13,Group Anagrams,70.3%,Medium,55.4,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
14,Next Permutation,42.3%,Medium,54.2,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
15,Rotate Array,42.5%,Medium,52.9,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
16,Sliding Window Maximum,47.2%,Hard,52.0,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
17,Find the Index of the First Occurrence in a String,44.5%,Easy,51.0,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
18,Find Peak Element,46.3%,Medium,50.5,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
19,Insert Interval,42.9%,Medium,50.5,https://leetcode.com/problems/insert-interval,Array
20,Text Justification,47.1%,Hard,50.0,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
21,First Missing Positive,40.6%,Hard,49.4,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
22,N-Queens,71.7%,Hard,48.3,https://leetcode.com/problems/n-queens,"Array, Backtracking"
23,Plus One,47.0%,Easy,47.7,https://leetcode.com/problems/plus-one,"Array, Math"
24,Add Binary,55.2%,Easy,47.0,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
25,Set Matrix Zeroes,58.9%,Medium,46.4,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
26,Find First and Last Position of Element in Sorted Array,46.1%,Medium,45.0,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
27,Reverse Words in a String,50.1%,Medium,43.5,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
28,Best Time to Buy and Sell Stock II,68.9%,Medium,42.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
29,Valid Sudoku,61.7%,Medium,41.9,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
30,Power of Two,48.2%,Easy,41.9,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
31,Reorder List,61.6%,Medium,41.9,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
32,Minimum Path Sum,65.8%,Medium,41.0,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
33,Rising Temperature,49.8%,Easy,40.1,https://leetcode.com/problems/rising-temperature,Database
34,Maximum Product Subarray,34.5%,Medium,40.1,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
35,Word Ladder,41.8%,Hard,40.1,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
36,Lowest Common Ancestor of a Binary Tree,65.7%,Medium,40.1,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
37,Missing Number,69.3%,Easy,39.1,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
38,3Sum Closest,46.6%,Medium,37.0,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
39,Swap Nodes in Pairs,66.5%,Medium,37.0,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
40,Isomorphic Strings,46.4%,Easy,37.0,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
41,Rotate List,39.4%,Medium,35.8,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
42,Reverse Linked List II,49.1%,Medium,35.8,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
