ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Trapping Rain Water,64.3%,Hard,73.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
3,Add Two Numbers,45.4%,Medium,73.3,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
4,Median of Two Sorted Arrays,42.9%,Hard,73.0,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
5,Longest Common Prefix,44.9%,Easy,70.2,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
6,Longest Substring Without Repeating Characters,36.3%,Medium,68.2,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
7,Valid Parentheses,41.8%,Easy,68.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
8,Longest Consecutive Sequence,47.2%,Medium,66.2,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
9,Maximum Subarray,51.7%,Medium,63.5,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
10,Search in Rotated Sorted Array,42.3%,Medium,58.0,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
11,Rotate Image,77.2%,Medium,57.8,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
12,Find Median from Data Stream,53.0%,Hard,57.0,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
13,Reverse Linked List,78.7%,Easy,55.9,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
14,Jump Game,39.1%,Medium,54.7,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
15,Group Anagrams,70.3%,Medium,54.7,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
16,Single Number,75.3%,Easy,54.4,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
17,Find the Index of the First Occurrence in a String,44.5%,Easy,53.9,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
18,Maximal Rectangle,52.9%,Hard,53.6,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
19,Pascal's Triangle,76.4%,Easy,53.6,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
20,4Sum,37.6%,Medium,53.6,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
21,Jump Game II,41.1%,Medium,51.3,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
22,Insert Interval,42.9%,Medium,49.7,https://leetcode.com/problems/insert-interval,Array
23,Text Justification,47.1%,Hard,49.7,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
24,First Missing Positive,40.6%,Hard,49.0,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
25,Valid Anagram,66.2%,Easy,48.7,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
26,Add Binary,55.2%,Easy,48.0,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
27,Find the Duplicate Number,62.3%,Medium,45.1,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
28,Maximum Product Subarray,34.5%,Medium,43.7,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
29,Isomorphic Strings,46.4%,Easy,42.2,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
30,Wildcard Matching,29.4%,Hard,42.2,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
31,Search a 2D Matrix,51.8%,Medium,41.7,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
32,String to Integer (atoi),18.7%,Medium,41.7,https://leetcode.com/problems/string-to-integer-atoi,String
33,Minimum Path Sum,65.8%,Medium,40.5,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
34,Copy List with Random Pointer,59.5%,Medium,40.5,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
35,Same Tree,64.4%,Easy,40.5,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
36,Symmetric Tree,58.6%,Easy,40.5,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
37,3Sum Closest,46.6%,Medium,39.9,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
38,Shortest Palindrome,40.3%,Hard,39.9,https://leetcode.com/problems/shortest-palindrome,"String, Rolling Hash, String Matching, Hash Function"
39,Contains Duplicate II,48.1%,Easy,39.9,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
40,Kth Smallest Element in a BST,74.7%,Medium,38.7,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
41,Missing Number,69.3%,Easy,38.0,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
42,Clone Graph,61.2%,Medium,37.3,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
43,Word Search II,37.0%,Hard,35.8,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
44,The Skyline Problem,43.6%,Hard,35.8,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
45,Best Time to Buy and Sell Stock with Cooldown,59.8%,Medium,35.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
46,Flatten Binary Tree to Linked List,67.7%,Medium,35.8,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
47,Group Shifted Strings,66.9%,Medium,35.0,https://leetcode.com/problems/group-shifted-strings,"Array, Hash Table, String"
48,Game of Life,70.9%,Medium,34.2,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
49,Integer to Roman,67.9%,Medium,33.3,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
50,Missing Ranges,35.0%,Easy,33.3,https://leetcode.com/problems/missing-ranges,Array
51,Graph Valid Tree,49.1%,Medium,32.4,https://leetcode.com/problems/graph-valid-tree,"Depth-First Search, Breadth-First Search, Union Find, Graph"
52,Binary Tree Paths,65.8%,Easy,31.4,https://leetcode.com/problems/binary-tree-paths,"String, Backtracking, Tree, Depth-First Search, Binary Tree"
53,Subsets II,58.9%,Medium,31.4,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
54,Second Highest Salary,43.0%,Medium,31.4,https://leetcode.com/problems/second-highest-salary,Database
55,Binary Tree Right Side View,65.6%,Medium,31.4,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
56,Walls and Gates,62.6%,Medium,31.4,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
57,Fraction to Recurring Decimal,25.9%,Medium,30.4,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
58,Number of Digit One,35.6%,Hard,29.2,https://leetcode.com/problems/number-of-digit-one,"Math, Dynamic Programming, Recursion"
59,Implement Stack using Queues,66.5%,Easy,29.2,https://leetcode.com/problems/implement-stack-using-queues,"Stack, Design, Queue"
60,Lowest Common Ancestor of a Binary Search Tree,67.4%,Medium,28.1,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
61,Wiggle Sort,68.1%,Medium,28.1,https://leetcode.com/problems/wiggle-sort,"Array, Greedy, Sorting"
62,Read N Characters Given read4 II - Call Multiple Times,42.7%,Hard,28.1,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,"Array, Simulation, Interactive"
63,3Sum Smaller,50.9%,Medium,28.1,https://leetcode.com/problems/3sum-smaller,"Array, Two Pointers, Binary Search, Sorting"
64,Department Top Three Salaries,56.8%,Hard,28.1,https://leetcode.com/problems/department-top-three-salaries,Database
65,Number of Islands II,40.0%,Hard,28.1,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
66,Zigzag Iterator,65.2%,Medium,26.8,https://leetcode.com/problems/zigzag-iterator,"Array, Design, Queue, Iterator"
67,Flip Game,64.9%,Easy,26.8,https://leetcode.com/problems/flip-game,String
68,Strobogrammatic Number,47.6%,Easy,26.8,https://leetcode.com/problems/strobogrammatic-number,"Hash Table, Two Pointers, String"
69,Paint Fence,47.5%,Medium,25.4,https://leetcode.com/problems/paint-fence,Dynamic Programming
70,Closest Binary Search Tree Value II,60.0%,Hard,25.4,https://leetcode.com/problems/closest-binary-search-tree-value-ii,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
71,Basic Calculator II,45.3%,Medium,25.4,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
72,Longest Substring with At Most Two Distinct Characters,56.1%,Medium,25.4,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,"Hash Table, String, Sliding Window"
73,Palindrome Permutation,68.1%,Easy,25.4,https://leetcode.com/problems/palindrome-permutation,"Hash Table, String, Bit Manipulation"
