ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Number of Visited Cells in a Grid,23.3%,Hard,100.0,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,"Array, Dynamic Programming, Stack, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix, Monotonic Stack"
2,Maximum Binary String After Change,47.0%,Medium,100.0,https://leetcode.com/problems/maximum-binary-string-after-change,"String, Greedy"
3,Valid Parentheses,41.8%,Easy,91.4,https://leetcode.com/problems/valid-parentheses,"String, Stack"
4,Two Sum,55.1%,Easy,87.7,https://leetcode.com/problems/two-sum,"Array, Hash Table"
5,Decode String,60.7%,Medium,83.3,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
6,Number of Islands,61.6%,Medium,77.9,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
7,Generate Parentheses,76.5%,Medium,77.9,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
8,Combination Sum,73.9%,Medium,71.0,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
9,Merge Two Sorted Lists,66.3%,Easy,71.0,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
10,Longest Palindromic Substring,35.3%,Medium,71.0,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
11,24 Game,49.8%,Hard,61.3,https://leetcode.com/problems/24-game,"Array, Math, Backtracking"
12,Largest Number,40.9%,Medium,61.3,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
13,Maximum Subarray,51.7%,Medium,61.3,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
14,Daily Temperatures,67.0%,Medium,61.3,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
