ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Exclusive Time of Functions,64.1%,Medium,100.0,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
2,Roman to Integer,64.2%,Easy,86.8,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
3,Best Time to Buy and Sell Stock,54.8%,Easy,85.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
4,Integer to Roman,67.9%,Medium,82.9,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
5,Meeting Rooms II,51.9%,Medium,82.9,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
6,Two Sum,55.1%,Easy,81.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
7,Fizz Buzz,73.9%,Easy,79.8,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
8,The kth Factor of n,69.3%,Medium,74.1,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
9,Count the Number of Incremovable Subarrays II,40.2%,Hard,74.1,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
10,Longest Common Prefix,44.9%,Easy,71.8,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
11,Get Equal Substrings Within Budget,58.7%,Medium,69.2,https://leetcode.com/problems/get-equal-substrings-within-budget,"String, Binary Search, Sliding Window, Prefix Sum"
12,Minimum Absolute Difference,70.3%,Easy,69.2,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
13,Numbers With Repeated Digits,42.9%,Hard,66.3,https://leetcode.com/problems/numbers-with-repeated-digits,"Math, Dynamic Programming"
14,String Compression,57.3%,Medium,66.3,https://leetcode.com/problems/string-compression,"Two Pointers, String"
15,Number of Divisible Triplet Sums,66.0%,Medium,66.3,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
16,Minimum Suffix Flips,73.5%,Medium,66.3,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
17,Count Binary Substrings,65.8%,Easy,66.3,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
