ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Valid Parentheses,41.8%,Easy,100.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
2,Two Sum,55.1%,Easy,97.1,https://leetcode.com/problems/two-sum,"Array, Hash Table"
3,Merge Sorted Array,52.3%,Easy,97.1,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
4,Best Time to Buy and Sell Stock,54.8%,Easy,85.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
5,Maximum Subarray,51.7%,Medium,85.8,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
6,Trapping Rain Water,64.3%,Hard,85.8,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
7,Reverse String,79.5%,Easy,80.7,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
8,Next Permutation,42.3%,Medium,80.7,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
9,Palindrome Number,58.7%,Easy,80.7,https://leetcode.com/problems/palindrome-number,Math
10,Longest Substring Without Repeating Characters,36.3%,Medium,80.7,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
11,3Sum,36.4%,Medium,74.6,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
12,Minimum Reverse Operations,16.6%,Hard,74.6,https://leetcode.com/problems/minimum-reverse-operations,"Array, Breadth-First Search, Ordered Set"
13,Climbing Stairs,53.3%,Easy,74.6,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
14,Palindrome Partitioning,71.4%,Medium,74.6,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
15,Reverse Integer,29.9%,Medium,74.6,https://leetcode.com/problems/reverse-integer,Math
16,Rotate Array,42.5%,Medium,74.6,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
17,Remove Duplicates from Sorted Array,59.5%,Easy,74.6,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
18,Add Two Numbers,45.4%,Medium,66.6,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
19,Gas Station,46.0%,Medium,66.6,https://leetcode.com/problems/gas-station,"Array, Greedy"
20,Spiral Matrix,52.9%,Medium,66.6,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
21,Missing Number,69.3%,Easy,66.6,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
22,Coin Change,45.8%,Medium,66.6,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
23,Single Element in a Sorted Array,59.2%,Medium,66.6,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
24,Find Building Where Alice and Bob Can Meet,52.9%,Hard,66.6,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet,"Array, Binary Search, Stack, Binary Indexed Tree, Segment Tree, Heap (Priority Queue), Monotonic Stack"
25,Jump Game,39.1%,Medium,66.6,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
26,Integer to Roman,67.9%,Medium,66.6,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
27,Longest Palindromic Substring,35.3%,Medium,66.6,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
