ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Trapping Rain Water,64.3%,Hard,100.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
2,Copy List with Random Pointer,59.5%,Medium,97.1,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
3,Number of Islands,61.6%,Medium,93.7,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
4,Valid Parentheses,41.8%,Easy,89.8,https://leetcode.com/problems/valid-parentheses,"String, Stack"
5,Best Time to Buy and Sell Stock,54.8%,Easy,72.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,Longest Substring Without Repeating Characters,36.3%,Medium,72.5,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
7,Two Sum,55.1%,Easy,62.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
8,Best Time to Buy and Sell Stock II,68.9%,Medium,62.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
9,Add Two Numbers,45.4%,Medium,62.4,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
10,Count Primes,34.4%,Medium,62.4,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
11,Reverse Integer,29.9%,Medium,62.4,https://leetcode.com/problems/reverse-integer,Math
12,Reverse Words in a String,50.1%,Medium,62.4,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
13,LRU Cache,44.4%,Medium,62.4,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
14,Maximum Nesting Depth of the Parentheses,84.2%,Easy,62.4,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses,"String, Stack"
15,Find Consecutive Integers from a Data Stream,50.4%,Medium,62.4,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream,"Hash Table, Design, Queue, Counting, Data Stream"
