ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Number of Taps to Open to Water a Garden,50.7%,Hard,100.0,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
2,Most Profitable Path in a Tree,68.1%,Medium,92.0,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
3,Course Schedule II,52.6%,Medium,92.0,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
4,Valid Parentheses,41.8%,Easy,90.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
5,Maximum Product of Three Numbers,45.2%,Easy,87.9,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
6,LRU Cache,44.4%,Medium,87.9,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
7,Make String Anti-palindrome,42.3%,Hard,85.6,https://leetcode.com/problems/make-string-anti-palindrome,"String, Greedy, Sorting, Counting Sort"
8,Number of Distinct Substrings in a String,64.4%,Medium,85.6,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
9,Basic Calculator IV,54.8%,Hard,85.6,https://leetcode.com/problems/basic-calculator-iv,"Hash Table, Math, String, Stack, Recursion"
10,Max Area of Island,72.9%,Medium,85.6,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
11,Number of Substrings With Fixed Ratio,55.5%,Medium,85.6,https://leetcode.com/problems/number-of-substrings-with-fixed-ratio,"Hash Table, Math, String, Prefix Sum"
12,Length of the Longest Subsequence That Sums to Target,36.7%,Medium,85.6,https://leetcode.com/problems/length-of-the-longest-subsequence-that-sums-to-target,"Array, Dynamic Programming"
13,Destroy Sequential Targets,40.2%,Medium,85.6,https://leetcode.com/problems/destroy-sequential-targets,"Array, Hash Table, Counting"
14,Maximum Total Beauty of the Gardens,29.8%,Hard,85.6,https://leetcode.com/problems/maximum-total-beauty-of-the-gardens,"Array, Two Pointers, Binary Search, Greedy, Sorting"
15,Maximum Difference Score in a Grid,47.0%,Medium,85.6,https://leetcode.com/problems/maximum-difference-score-in-a-grid,"Array, Dynamic Programming, Matrix"
16,Product of Array Except Self,67.4%,Medium,83.0,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
17,Sudoku Solver,63.7%,Hard,83.0,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
18,Rotting Oranges,56.0%,Medium,80.1,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
19,Two Sum,55.1%,Easy,73.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
20,Word Break,47.9%,Medium,68.6,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
21,Logger Rate Limiter,76.4%,Easy,68.6,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
22,Longest Substring Without Repeating Characters,36.3%,Medium,68.6,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
23,Spiral Matrix,52.9%,Medium,68.6,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
24,Top K Frequent Elements,64.1%,Medium,63.1,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
25,Longest Increasing Subsequence,57.2%,Medium,63.1,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
26,Heaters,39.4%,Medium,63.1,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
27,Plus One,47.0%,Easy,63.1,https://leetcode.com/problems/plus-one,"Array, Math"
28,Group Anagrams,70.3%,Medium,63.1,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
29,Min Stack,55.9%,Medium,63.1,https://leetcode.com/problems/min-stack,"Stack, Design"
30,3Sum,36.4%,Medium,63.1,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
31,Trapping Rain Water,64.3%,Hard,63.1,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
32,Russian Doll Envelopes,37.2%,Hard,56.1,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting"
33,Design Circular Queue,52.4%,Medium,56.1,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
34,Unique Email Addresses,67.5%,Easy,56.1,https://leetcode.com/problems/unique-email-addresses,"Array, Hash Table, String"
35,Middle of the Linked List,80.1%,Easy,56.1,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
36,Minimum Cost For Tickets,67.4%,Medium,56.1,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
37,Generate Parentheses,76.5%,Medium,56.1,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
38,Best Time to Buy and Sell Stock,54.8%,Easy,56.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
39,House Robber,52.0%,Medium,56.1,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
40,Coin Change,45.8%,Medium,56.1,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
41,Insert Delete GetRandom O(1),54.9%,Medium,56.1,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
42,132 Pattern,33.9%,Medium,56.1,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
43,Maximal Rectangle,52.9%,Hard,46.3,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
44,Decode Ways,36.1%,Medium,46.3,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
45,Number of Longest Increasing Subsequence,49.4%,Medium,46.3,https://leetcode.com/problems/number-of-longest-increasing-subsequence,"Array, Dynamic Programming, Binary Indexed Tree, Segment Tree"
46,Decode String,60.7%,Medium,46.3,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
47,Course Schedule,48.5%,Medium,46.3,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
