ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Sort Integers by The Number of 1 Bits,78.6%,Easy,100.0,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Array, Bit Manipulation, Sorting, Counting"
2,Reaching Points,33.6%,Hard,97.1,https://leetcode.com/problems/reaching-points,Math
3,Least Number of Unique Integers after K Removals,63.3%,Medium,96.1,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
4,Remove Colored Pieces if Both Neighbors are the Same Color,62.9%,Medium,91.9,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
5,Minimum Suffix Flips,73.5%,Medium,89.0,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
6,Next Permutation,42.3%,Medium,88.3,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
7,Break a Palindrome,51.5%,Medium,87.4,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
8,Check Whether Two Strings are Almost Equivalent,64.0%,Easy,81.8,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent,"Hash Table, String, Counting"
9,Minimum Absolute Difference,70.3%,Easy,80.7,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
10,Valid Parentheses,41.8%,Easy,74.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
11,Best Time to Buy and Sell Stock,54.8%,Easy,74.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
12,Merge Intervals,48.8%,Medium,72.3,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
13,Numbers With Repeated Digits,42.9%,Hard,70.6,https://leetcode.com/problems/numbers-with-repeated-digits,"Math, Dynamic Programming"
14,Pairs of Songs With Total Durations Divisible by 60,53.2%,Medium,66.4,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
15,Climbing Stairs,53.3%,Easy,66.4,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
16,Longest Palindromic Substring,35.3%,Medium,64.0,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
17,Count Numbers with Unique Digits,54.0%,Medium,64.0,https://leetcode.com/problems/count-numbers-with-unique-digits,"Math, Dynamic Programming, Backtracking"
18,Find Resultant Array After Removing Anagrams,59.2%,Easy,61.3,https://leetcode.com/problems/find-resultant-array-after-removing-anagrams,"Array, Hash Table, String, Sorting"
19,Fizz Buzz,73.9%,Easy,58.1,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
20,Maximum Number of Events That Can Be Attended,32.7%,Medium,58.1,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
21,Subarray Sum Equals K,44.9%,Medium,58.1,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
22,Generate Parentheses,76.5%,Medium,58.1,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
23,Happy Number,57.6%,Easy,58.1,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
24,Longest Substring Without Repeating Characters,36.3%,Medium,54.4,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
25,Maximum Units on a Truck,74.0%,Easy,54.4,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
26,Two Sum,55.1%,Easy,54.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
27,Group Anagrams,70.3%,Medium,54.4,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
28,Minimum Operations to Make All Array Elements Equal,36.6%,Medium,49.8,https://leetcode.com/problems/minimum-operations-to-make-all-array-elements-equal,"Array, Binary Search, Sorting, Prefix Sum"
29,Maximum Subarray,51.7%,Medium,49.8,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
30,Minimum Cost to Connect Sticks,70.9%,Medium,49.8,https://leetcode.com/problems/minimum-cost-to-connect-sticks,"Array, Greedy, Heap (Priority Queue)"
31,Non-overlapping Intervals,54.9%,Medium,49.8,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
32,Determine Color of a Chessboard Square,79.1%,Easy,49.8,https://leetcode.com/problems/determine-color-of-a-chessboard-square,"Math, String"
33,Ugly Number,42.3%,Easy,43.9,https://leetcode.com/problems/ugly-number,Math
34,Minimum Cost to Make Array Equal,46.1%,Hard,43.9,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
35,Minimum Swaps to Make Strings Equal,64.5%,Medium,43.9,https://leetcode.com/problems/minimum-swaps-to-make-strings-equal,"Math, String, Greedy"
36,Best Time to Buy and Sell Stock II,68.9%,Medium,43.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
37,Daily Temperatures,67.0%,Medium,43.9,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
38,Minimum String Length After Removing Substrings,77.5%,Easy,35.8,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,"String, Stack, Simulation"
39,Degree of an Array,57.1%,Easy,35.8,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
40,Reconstruct Original Digits from English,51.5%,Medium,35.8,https://leetcode.com/problems/reconstruct-original-digits-from-english,"Hash Table, Math, String"
41,Combination Sum,73.9%,Medium,35.8,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
42,Contains Duplicate,62.8%,Easy,35.8,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
43,Find the Duplicate Number,62.3%,Medium,35.8,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
44,Coin Change,45.8%,Medium,35.8,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
45,Letter Combinations of a Phone Number,63.1%,Medium,35.8,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
46,Check if Number Has Equal Digit Count and Digit Value,72.6%,Easy,35.8,https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value,"Hash Table, String, Counting"
47,Suspicious Bank Accounts,44.9%,Medium,35.8,https://leetcode.com/problems/suspicious-bank-accounts,Database
48,Lexicographically Smallest String After Applying Operations,66.1%,Medium,35.8,https://leetcode.com/problems/lexicographically-smallest-string-after-applying-operations,"String, Depth-First Search, Breadth-First Search, Enumeration"
49,Lexicographically Smallest String After a Swap,53.9%,Easy,35.8,https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap,"String, Greedy"
50,Maximum Number of Points From Grid Queries,39.5%,Hard,35.8,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries,"Array, Two Pointers, Breadth-First Search, Union Find, Sorting, Heap (Priority Queue), Matrix"
51,Display Table of Food Orders in a Restaurant,75.7%,Medium,35.8,https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant,"Array, Hash Table, String, Sorting, Ordered Set"
52,Reverse Integer,29.9%,Medium,35.8,https://leetcode.com/problems/reverse-integer,Math
53,Maximum Product Subarray,34.5%,Medium,35.8,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
54,Open the Lock,60.6%,Medium,35.8,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
55,Valid Anagram,66.2%,Easy,35.8,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
56,Binary Tree Right Side View,65.6%,Medium,35.8,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
57,Sum of Subarray Ranges,60.2%,Medium,35.8,https://leetcode.com/problems/sum-of-subarray-ranges,"Array, Stack, Monotonic Stack"
58,Intersection of Two Arrays,76.0%,Easy,35.8,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
59,Search Suggestions System,65.0%,Medium,35.8,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
60,Pascal's Triangle,76.4%,Easy,35.8,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
61,Decode Ways,36.1%,Medium,35.8,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
62,Count Strictly Increasing Subarrays,71.3%,Medium,35.8,https://leetcode.com/problems/count-strictly-increasing-subarrays,"Array, Math, Dynamic Programming"
63,Add Binary,55.2%,Easy,35.8,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
64,Minimum Insertions to Balance a Parentheses String,53.0%,Medium,35.8,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string,"String, Stack, Greedy"
65,"Pow(x, n)",36.5%,Medium,35.8,https://leetcode.com/problems/powx-n,"Math, Recursion"
66,Cherry Pickup,37.6%,Hard,35.8,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
67,Integer to Roman,67.9%,Medium,35.8,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
68,Reverse Linked List,78.7%,Easy,35.8,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
69,Fibonacci Number,72.5%,Easy,35.8,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
70,Reverse Odd Levels of Binary Tree,86.7%,Medium,35.8,https://leetcode.com/problems/reverse-odd-levels-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
