ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Move Zeroes,62.5%,Easy,100.0,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
2,Add Two Numbers,45.4%,Medium,93.7,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
3,Remove Zero Sum Consecutive Nodes from Linked List,52.8%,Medium,93.7,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list,"Hash Table, Linked List"
4,Find the Minimum and Maximum Number of Nodes Between Critical Points,69.6%,Medium,85.7,https://leetcode.com/problems/find-the-minimum-and-maximum-number-of-nodes-between-critical-points,Linked List
5,Number of Good Leaf Nodes Pairs,71.9%,Medium,85.7,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs,"Tree, Depth-First Search, Binary Tree"
6,Best Time to Buy and Sell Stock,54.8%,Easy,85.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
7,Merge Nodes in Between Zeros,89.7%,Medium,85.7,https://leetcode.com/problems/merge-nodes-in-between-zeros,"Linked List, Simulation"
8,Count Pairs Whose Sum is Less than Target,87.6%,Easy,85.7,https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target,"Array, Two Pointers, Binary Search, Sorting"
9,Reverse Odd Levels of Binary Tree,86.7%,Medium,85.7,https://leetcode.com/problems/reverse-odd-levels-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
10,Longest Substring Without Repeating Characters,36.3%,Medium,74.3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
11,Find the Substring With Maximum Cost,57.2%,Medium,74.3,https://leetcode.com/problems/find-the-substring-with-maximum-cost,"Array, Hash Table, String, Dynamic Programming"
12,Construct Smallest Number From DI String,85.9%,Medium,74.3,https://leetcode.com/problems/construct-smallest-number-from-di-string,"String, Backtracking, Stack, Greedy"
13,Minimum Swaps to Group All 1's Together II,65.6%,Medium,74.3,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii,"Array, Sliding Window"
14,Reverse Nodes in k-Group,62.0%,Hard,74.3,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
15,Find Bottom Left Tree Value,71.6%,Medium,74.3,https://leetcode.com/problems/find-bottom-left-tree-value,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
16,Maximum Twin Sum of a Linked List,81.3%,Medium,74.3,https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list,"Linked List, Two Pointers, Stack"
