ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Text Justification,47.1%,Hard,100.0,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
2,Find Words That Can Be Formed by Characters,70.9%,Easy,85.7,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
3,Word Search,44.6%,Medium,84.0,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
4,Check if Every Row and Column Contains All Numbers,52.5%,Easy,82.2,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,"Array, Hash Table, Matrix"
5,Alert Using Same Key-Card Three or More Times in a One Hour Period,46.2%,Medium,72.2,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,"Array, Hash Table, String, Sorting"
6,Course Schedule,48.5%,Medium,68.7,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
7,Number of Islands,61.6%,Medium,58.8,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
8,Ransom Note,63.9%,Easy,58.8,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
9,Two Sum,55.1%,Easy,50.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
10,Valid Sudoku,61.7%,Medium,50.9,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
11,Subdomain Visit Count,76.7%,Medium,50.9,https://leetcode.com/problems/subdomain-visit-count,"Array, Hash Table, String, Counting"
12,Word Search II,37.0%,Hard,50.9,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
13,Course Schedule II,52.6%,Medium,50.9,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
14,Maximal Square,48.2%,Medium,50.9,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
15,Jump Game,39.1%,Medium,50.9,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
