ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Max Stack,45.3%,Hard,100.0,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
2,Nested List Weight Sum II,64.9%,Medium,92.2,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
3,All O`one Data Structure,44.8%,Hard,92.2,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
4,Design Authentication Manager,58.1%,Medium,84.6,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
5,Number of Islands,61.6%,Medium,78.3,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
6,Find the Celebrity,48.2%,Medium,75.6,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
7,Valid Parentheses,41.8%,Easy,72.7,https://leetcode.com/problems/valid-parentheses,"String, Stack"
8,Maximum Subarray,51.7%,Medium,71.0,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
9,Word Ladder,41.8%,Hard,71.0,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
10,Serialize and Deserialize Binary Tree,58.4%,Hard,71.0,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
11,Shortest Word Distance II,61.9%,Medium,71.0,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
12,Merge Intervals,48.8%,Medium,69.2,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
13,Find Leaves of Binary Tree,81.0%,Medium,69.2,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
14,Kth Largest Element in an Array,67.6%,Medium,69.2,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
15,Nested List Weight Sum,85.2%,Medium,69.2,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
16,Search in Rotated Sorted Array,42.3%,Medium,69.2,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
17,Building H2O,57.3%,Medium,69.2,https://leetcode.com/problems/building-h2o,Concurrency
18,Maximum Product Subarray,34.5%,Medium,69.2,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
19,Find Pivot Index,59.9%,Easy,65.0,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
20,Partition to K Equal Sum Subsets,38.1%,Medium,62.5,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
21,Can Place Flowers,28.8%,Easy,62.5,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
22,Maximum Depth of Binary Tree,76.8%,Easy,62.5,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
23,LRU Cache,44.4%,Medium,59.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
24,Closest Binary Search Tree Value II,60.0%,Hard,59.7,https://leetcode.com/problems/closest-binary-search-tree-value-ii,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
25,Exclusive Time of Functions,64.1%,Medium,59.7,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
