ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Nested List Weight Sum II,64.9%,Medium,96.6,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
2,All O`one Data Structure,44.8%,Hard,94.6,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
3,Find the Celebrity,48.2%,Medium,80.7,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
4,Maximum Subarray,51.7%,Medium,79.6,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
5,Valid Parentheses,41.8%,Easy,79.1,https://leetcode.com/problems/valid-parentheses,"String, Stack"
6,Shortest Word Distance II,61.9%,Medium,79.1,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
7,Word Ladder,41.8%,Hard,78.5,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
8,Nested List Weight Sum,85.2%,Medium,78.5,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
9,Find Leaves of Binary Tree,81.0%,Medium,77.9,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
10,Number of Islands,61.6%,Medium,76.1,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
11,Maximum Product Subarray,34.5%,Medium,75.4,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
12,Can Place Flowers,28.8%,Easy,74.0,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
13,Search in Rotated Sorted Array,42.3%,Medium,73.2,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
14,Binary Tree Upside Down,64.1%,Medium,69.9,https://leetcode.com/problems/binary-tree-upside-down,"Tree, Depth-First Search, Binary Tree"
15,Find First and Last Position of Element in Sorted Array,46.1%,Medium,69.9,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
16,Paint House,63.4%,Medium,69.0,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
17,Serialize and Deserialize Binary Tree,58.4%,Hard,69.0,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
18,Lowest Common Ancestor of a Binary Tree,65.7%,Medium,68.1,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
19,Merge Intervals,48.8%,Medium,68.1,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
20,Shortest Word Distance,65.8%,Easy,67.0,https://leetcode.com/problems/shortest-word-distance,"Array, String"
21,Factor Combinations,50.1%,Medium,66.0,https://leetcode.com/problems/factor-combinations,Backtracking
22,Minimum Window Substring,44.7%,Hard,66.0,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
23,Maximum Depth of Binary Tree,76.8%,Easy,66.0,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
24,Isomorphic Strings,46.4%,Easy,64.9,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
25,"Pow(x, n)",36.5%,Medium,63.7,https://leetcode.com/problems/powx-n,"Math, Recursion"
26,Lowest Common Ancestor of a Binary Search Tree,67.4%,Medium,63.7,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
27,Kth Largest Element in an Array,67.6%,Medium,63.7,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
