ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Count Subarrays With Fixed Bounds,67.7%,Hard,100.0,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
2,Maximum Number of Alloys,39.0%,Medium,84.1,https://leetcode.com/problems/maximum-number-of-alloys,"Array, Binary Search"
3,String Transformation,30.7%,Hard,74.8,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
4,Longest String Chain,61.7%,Medium,68.3,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
5,Sum of Distances in Tree,65.3%,Hard,68.3,https://leetcode.com/problems/sum-of-distances-in-tree,"Dynamic Programming, Tree, Depth-First Search, Graph"
6,Reshape the Matrix,63.7%,Easy,68.3,https://leetcode.com/problems/reshape-the-matrix,"Array, Matrix, Simulation"
7,Two Sum,55.1%,Easy,59.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
8,Total Cost to Hire K Workers,42.9%,Medium,59.0,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
9,Reverse Nodes in k-Group,62.0%,Hard,59.0,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
10,Break a Palindrome,51.5%,Medium,59.0,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
11,Earliest Second to Mark Indices I,36.0%,Medium,59.0,https://leetcode.com/problems/earliest-second-to-mark-indices-i,"Array, Binary Search"
12,Earliest Second to Mark Indices II,21.1%,Hard,59.0,https://leetcode.com/problems/earliest-second-to-mark-indices-ii,"Array, Binary Search, Greedy, Heap (Priority Queue)"
13,Maximum Palindromes After Operations,43.2%,Medium,59.0,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
14,Keyboard Row,72.1%,Easy,59.0,https://leetcode.com/problems/keyboard-row,"Array, Hash Table, String"
15,Minimum Cost Tree From Leaf Values,67.7%,Medium,59.0,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
16,Last Substring in Lexicographical Order,34.5%,Hard,59.0,https://leetcode.com/problems/last-substring-in-lexicographical-order,"Two Pointers, String"
17,Count Anagrams,34.7%,Hard,59.0,https://leetcode.com/problems/count-anagrams,"Hash Table, Math, String, Combinatorics, Counting"
18,Beautiful Arrangement,64.5%,Medium,59.0,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
19,Remove Colored Pieces if Both Neighbors are the Same Color,62.9%,Medium,59.0,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
20,Remove Boxes,48.2%,Hard,59.0,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
21,Split Array Largest Sum,57.4%,Hard,59.0,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
22,Cherry Pickup,37.6%,Hard,59.0,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
23,Fraction to Recurring Decimal,25.9%,Medium,59.0,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
24,Pass the Pillow,56.7%,Easy,59.0,https://leetcode.com/problems/pass-the-pillow,"Math, Simulation"
