ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Maximum Number of Alloys,39.0%,Medium,100.0,https://leetcode.com/problems/maximum-number-of-alloys,"Array, Binary Search"
2,Count Subarrays With Fixed Bounds,67.7%,Hard,100.0,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
3,Total Cost to Hire K Workers,42.9%,Medium,92.7,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
4,Reshape the Matrix,63.7%,Easy,92.7,https://leetcode.com/problems/reshape-the-matrix,"Array, Matrix, Simulation"
5,Maximum Palindromes After Operations,43.2%,Medium,90.4,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
6,Minimum Cost Tree From Leaf Values,67.7%,Medium,90.4,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
7,Keyboard Row,72.1%,Easy,90.4,https://leetcode.com/problems/keyboard-row,"Array, Hash Table, String"
8,Earliest Second to Mark Indices I,36.0%,Medium,90.4,https://leetcode.com/problems/earliest-second-to-mark-indices-i,"Array, Binary Search"
9,Earliest Second to Mark Indices II,21.1%,Hard,90.4,https://leetcode.com/problems/earliest-second-to-mark-indices-ii,"Array, Binary Search, Greedy, Heap (Priority Queue)"
10,Last Substring in Lexicographical Order,34.5%,Hard,90.4,https://leetcode.com/problems/last-substring-in-lexicographical-order,"Two Pointers, String"
11,Remove Colored Pieces if Both Neighbors are the Same Color,62.9%,Medium,90.4,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
12,Count Anagrams,34.7%,Hard,90.4,https://leetcode.com/problems/count-anagrams,"Hash Table, Math, String, Combinatorics, Counting"
13,String Transformation,30.7%,Hard,82.0,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
14,Pass the Pillow,56.7%,Easy,78.3,https://leetcode.com/problems/pass-the-pillow,"Math, Simulation"
15,Minimum Edge Reversals So Every Node Is Reachable,57.5%,Hard,74.0,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph"
16,Longest String Chain,61.7%,Medium,62.0,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
17,Number of Divisible Triplet Sums,66.0%,Medium,62.0,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
18,Sum of Distances in Tree,65.3%,Hard,62.0,https://leetcode.com/problems/sum-of-distances-in-tree,"Dynamic Programming, Tree, Depth-First Search, Graph"
19,Split Array Largest Sum,57.4%,Hard,62.0,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
20,Break a Palindrome,51.5%,Medium,62.0,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
21,Maximum Difference Between Increasing Elements,58.6%,Easy,52.4,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
22,Convert Binary Number in a Linked List to Integer,81.2%,Easy,52.4,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
23,Two Sum,55.1%,Easy,52.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
24,Reverse Nodes in k-Group,62.0%,Hard,52.4,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
25,Beautiful Arrangement,64.5%,Medium,52.4,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
26,Cherry Pickup,37.6%,Hard,52.4,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
27,Fraction to Recurring Decimal,25.9%,Medium,52.4,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
28,Remove Boxes,48.2%,Hard,52.4,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
29,Longest Repeating Character Replacement,56.4%,Medium,52.4,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
