ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Operations to Form Subsequence With Target Sum,32.2%,Hard,100.0,https://leetcode.com/problems/minimum-operations-to-form-subsequence-with-target-sum,"Array, Greedy, Bit Manipulation"
2,Count the Number of Square-Free Subsets,24.4%,Medium,93.3,https://leetcode.com/problems/count-the-number-of-square-free-subsets,"Array, Math, Dynamic Programming, Bit Manipulation, Bitmask"
3,Scramble String,41.7%,Hard,89.0,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
4,Maximum Genetic Difference Query,43.6%,Hard,85.5,https://leetcode.com/problems/maximum-genetic-difference-query,"Array, Hash Table, Bit Manipulation, Depth-First Search, Trie"
5,Minimum Time Visiting All Points,82.5%,Easy,83.6,https://leetcode.com/problems/minimum-time-visiting-all-points,"Array, Math, Geometry"
6,Furthest Building You Can Reach,50.1%,Medium,83.6,https://leetcode.com/problems/furthest-building-you-can-reach,"Array, Greedy, Heap (Priority Queue)"
7,Difference Between Maximum and Minimum Price Sum,32.1%,Hard,81.5,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum,"Array, Dynamic Programming, Tree, Depth-First Search"
8,Queens That Can Attack the King,72.1%,Medium,81.5,https://leetcode.com/problems/queens-that-can-attack-the-king,"Array, Matrix, Simulation"
9,Minimum XOR Sum of Two Arrays,48.7%,Hard,81.5,https://leetcode.com/problems/minimum-xor-sum-of-two-arrays,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
10,Maximum Value of an Ordered Triplet I,46.4%,Easy,81.5,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-i,Array
11,Maximum Value of an Ordered Triplet II,41.0%,Medium,81.5,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-ii,Array
12,Sum of Remoteness of All Cells,70.8%,Medium,81.5,https://leetcode.com/problems/sum-of-remoteness-of-all-cells,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Matrix"
13,Make the XOR of All Segments Equal to Zero,39.9%,Hard,81.5,https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero,"Array, Dynamic Programming, Bit Manipulation"
14,Maximum XOR of Two Non-Overlapping Subtrees,48.5%,Hard,81.5,https://leetcode.com/problems/maximum-xor-of-two-non-overlapping-subtrees,"Tree, Depth-First Search, Graph, Trie"
15,Minimum Cost to Buy Apples,67.2%,Medium,81.5,https://leetcode.com/problems/minimum-cost-to-buy-apples,"Array, Graph, Heap (Priority Queue), Shortest Path"
16,Minimum Total Space Wasted With K Resizing Operations,43.5%,Medium,81.5,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations,"Array, Dynamic Programming"
