ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,"Pow(x, n)",36.5%,Medium,88.9,https://leetcode.com/problems/powx-n,"Math, Recursion"
2,Merge Sorted Array,52.3%,Easy,88.5,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
3,Simplify Path,46.6%,Medium,87.0,https://leetcode.com/problems/simplify-path,"String, Stack"
4,Merge Intervals,48.8%,Medium,86.6,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
5,3Sum,36.4%,Medium,84.6,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
6,Two Sum,55.1%,Easy,83.3,https://leetcode.com/problems/two-sum,"Array, Hash Table"
7,Next Permutation,42.3%,Medium,79.2,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
8,Merge k Sorted Lists,55.8%,Hard,74.7,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
9,Find First and Last Position of Element in Sorted Array,46.1%,Medium,73.2,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
10,Valid Parentheses,41.8%,Easy,73.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
11,Letter Combinations of a Phone Number,63.1%,Medium,69.4,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
12,Valid Number,21.1%,Hard,68.9,https://leetcode.com/problems/valid-number,String
13,Longest Common Prefix,44.9%,Easy,67.8,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
14,Trapping Rain Water,64.3%,Hard,67.3,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
15,Add Two Numbers,45.4%,Medium,65.2,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
16,Subsets,80.3%,Medium,64.9,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
17,Longest Substring Without Repeating Characters,36.3%,Medium,64.2,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
18,Roman to Integer,64.2%,Easy,62.9,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
19,Minimum Window Substring,44.7%,Hard,62.9,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
20,String to Integer (atoi),18.7%,Medium,61.8,https://leetcode.com/problems/string-to-integer-atoi,String
21,Best Time to Buy and Sell Stock,54.8%,Easy,61.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
22,Remove Nth Node From End of List,48.1%,Medium,60.6,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
23,Longest Palindromic Substring,35.3%,Medium,59.8,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
24,Search in Rotated Sorted Array,42.3%,Medium,59.4,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
25,Median of Two Sorted Arrays,42.9%,Hard,58.0,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
26,Container With Most Water,57.2%,Medium,57.1,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
27,Count and Say,57.9%,Medium,56.1,https://leetcode.com/problems/count-and-say,String
28,Remove Duplicates from Sorted Array,59.5%,Easy,55.0,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
29,Climbing Stairs,53.3%,Easy,55.0,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
30,Merge Two Sorted Lists,66.3%,Easy,54.5,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
31,Palindrome Number,58.7%,Easy,54.5,https://leetcode.com/problems/palindrome-number,Math
32,Set Matrix Zeroes,58.9%,Medium,52.7,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
33,Reverse Integer,29.9%,Medium,52.7,https://leetcode.com/problems/reverse-integer,Math
34,Group Anagrams,70.3%,Medium,52.7,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
35,Flatten Binary Tree to Linked List,67.7%,Medium,52.1,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
36,Maximum Subarray,51.7%,Medium,52.1,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
37,Spiral Matrix,52.9%,Medium,49.4,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
38,Word Search,44.6%,Medium,49.4,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
39,Add Binary,55.2%,Easy,49.4,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
40,Regular Expression Matching,29.0%,Hard,47.9,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
41,Insert Interval,42.9%,Medium,47.1,https://leetcode.com/problems/insert-interval,Array
42,Multiply Strings,41.8%,Medium,47.1,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
43,Pascal's Triangle,76.4%,Easy,46.2,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
44,Divide Two Integers,18.1%,Medium,46.2,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
45,Rotate Image,77.2%,Medium,46.2,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
46,Binary Tree Zigzag Level Order Traversal,61.0%,Medium,44.4,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
47,Search a 2D Matrix,51.8%,Medium,44.4,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
48,Largest Rectangle in Histogram,46.6%,Hard,44.4,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
49,Sort Colors,66.4%,Medium,43.4,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
50,Remove Element,59.4%,Easy,43.4,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
51,Populating Next Right Pointers in Each Node,64.8%,Medium,42.3,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
52,Find the Index of the First Occurrence in a String,44.5%,Easy,42.3,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
53,Sqrt(x),40.0%,Easy,42.3,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
54,Generate Parentheses,76.5%,Medium,41.2,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
55,Plus One,47.0%,Easy,41.2,https://leetcode.com/problems/plus-one,"Array, Math"
56,Jump Game,39.1%,Medium,41.2,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
57,Valid Sudoku,61.7%,Medium,41.2,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
58,Minimum Depth of Binary Tree,50.0%,Easy,41.2,https://leetcode.com/problems/minimum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
59,Combination Sum,73.9%,Medium,41.2,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
60,Unique Paths II,42.8%,Medium,40.1,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
61,Binary Tree Level Order Traversal,69.8%,Medium,40.1,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
62,Permutations,80.1%,Medium,40.1,https://leetcode.com/problems/permutations,"Array, Backtracking"
63,Remove Duplicates from Sorted Array II,62.2%,Medium,37.5,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
64,3Sum Closest,46.6%,Medium,37.5,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
65,First Missing Positive,40.6%,Hard,37.5,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
66,Best Time to Buy and Sell Stock II,68.9%,Medium,37.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
67,Validate Binary Search Tree,34.0%,Medium,36.0,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
68,Path Sum II,60.0%,Medium,36.0,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
69,4Sum,37.6%,Medium,36.0,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
70,Text Justification,47.1%,Hard,36.0,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
71,Edit Distance,58.2%,Medium,36.0,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
72,Reverse Linked List II,49.1%,Medium,34.4,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
73,Maximum Depth of Binary Tree,76.8%,Easy,34.4,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
74,N-Queens,71.7%,Hard,34.4,https://leetcode.com/problems/n-queens,"Array, Backtracking"
75,Zigzag Conversion,50.8%,Medium,34.4,https://leetcode.com/problems/zigzag-conversion,String
76,Binary Tree Inorder Traversal,78.0%,Easy,32.7,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
