ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Merge Sorted Array,52.3%,Easy,89.6,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
2,"Pow(x, n)",36.5%,Medium,88.0,https://leetcode.com/problems/powx-n,"Math, Recursion"
3,Simplify Path,46.6%,Medium,87.6,https://leetcode.com/problems/simplify-path,"String, Stack"
4,Merge Intervals,48.8%,Medium,84.8,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
5,Two Sum,55.1%,Easy,82.6,https://leetcode.com/problems/two-sum,"Array, Hash Table"
6,3Sum,36.4%,Medium,79.8,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
7,Next Permutation,42.3%,Medium,77.7,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
8,Merge k Sorted Lists,55.8%,Hard,76.7,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
9,Find First and Last Position of Element in Sorted Array,46.1%,Medium,71.8,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
10,Valid Parentheses,41.8%,Easy,71.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
11,Valid Number,21.1%,Hard,70.6,https://leetcode.com/problems/valid-number,String
12,Longest Common Prefix,44.9%,Easy,68.0,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
13,Letter Combinations of a Phone Number,63.1%,Medium,66.7,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
14,Minimum Window Substring,44.7%,Hard,66.7,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
15,Subsets,80.3%,Medium,65.6,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
16,Add Two Numbers,45.4%,Medium,64.9,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
17,Trapping Rain Water,64.3%,Hard,63.3,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
18,Remove Nth Node From End of List,48.1%,Medium,62.7,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
