ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Merge Sorted Array,52.3%,Easy,83.9,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
3,Longest Substring Without Repeating Characters,36.3%,Medium,79.3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
4,Add Two Numbers,45.4%,Medium,79.2,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
5,Trapping Rain Water,64.3%,Hard,76.8,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
6,Longest Palindromic Substring,35.3%,Medium,76.2,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
7,Valid Parentheses,41.8%,Easy,74.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
8,Merge Intervals,48.8%,Medium,73.7,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
9,Maximum Subarray,51.7%,Medium,73.5,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
10,Median of Two Sorted Arrays,42.9%,Hard,72.2,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
11,Roman to Integer,64.2%,Easy,72.2,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
12,3Sum,36.4%,Medium,71.7,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
13,Reverse Nodes in k-Group,62.0%,Hard,70.9,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
14,Spiral Matrix,52.9%,Medium,70.7,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
15,Group Anagrams,70.3%,Medium,70.2,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
16,Merge Two Sorted Lists,66.3%,Easy,69.9,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
17,Search in Rotated Sorted Array,42.3%,Medium,68.5,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
18,Container With Most Water,57.2%,Medium,67.6,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
19,Rotate Image,77.2%,Medium,67.3,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
20,Merge k Sorted Lists,55.8%,Hard,67.3,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
21,Palindrome Number,58.7%,Easy,66.7,https://leetcode.com/problems/palindrome-number,Math
22,Climbing Stairs,53.3%,Easy,66.3,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
23,Longest Common Prefix,44.9%,Easy,65.7,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
24,Remove Duplicates from Sorted Array,59.5%,Easy,64.3,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
25,Sort Colors,66.4%,Medium,63.9,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
26,Letter Combinations of a Phone Number,63.1%,Medium,63.6,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
27,Set Matrix Zeroes,58.9%,Medium,62.8,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
